,accession,gene
527,>XM_001388955.3,An01g05690
529,>XM_001388962.1,An01g05750
531,>XM_001388963.3,An01g05760
533,>XM_001388964.3,An01g05770
535,>XM_001388965.3,An01g05780
537,>XM_001388966.1,An01g05790
539,>XM_001388967.3,An01g05800
541,>XM_001388968.3,An01g05810
543,>XM_001388969.1,An01g05820
545,>XM_001388971.3,An01g05840
547,>XM_001388973.1,An01g05860
549,>XM_001388975.1,An01g05880
551,>XM_001388976.1,An01g05890
553,>XM_001388977.3,An01g05900
555,>XM_001388983.3,An01g05960
557,>XM_001388986.3,An01g05990
559,>XM_001388987.3,An01g06000
561,>XM_001388988.1,An01g06010
563,>XM_001388989.1,An01g06020
565,>XM_001388991.3,An01g06040
567,>XM_001388992.3,An01g06050
569,>XM_001388993.3,An01g06060
571,>XM_001388999.3,An01g06120
573,>XM_001389002.3,An01g06150
575,>XM_001389005.3,An01g06180
577,>XM_001389008.3,An01g06210
579,>XM_001389010.3,An01g06230
581,>XM_001389012.1,An01g06250
583,>XM_001389014.1,An01g06270
585,>XM_001389015.3,An01g06280
587,>XM_001389018.3,An01g06310
589,>XM_001389022.3,An01g06340
591,>XM_001389023.3,An01g06350
593,>XM_001389024.1,An01g06360
595,>XM_001389025.3,An01g06370
597,>XM_001389028.1,An01g06400
599,>XM_001389030.1,An01g06420
601,>XM_001389031.1,An01g06430
603,>XM_001389032.3,An01g06440
605,>XM_001389034.3,An01g06460
607,>XM_001389035.3,An01g06470
609,>XM_001389036.3,An01g06480
611,>XM_001389041.3,An01g06530
613,>XM_001389043.3,An01g06550
615,>XM_001389044.3,An01g06560
617,>XM_001389045.3,An01g06570
619,>XM_001389048.3,An01g06610
621,>XM_001389049.1,An01g06620
623,>XM_001389050.1,An01g06630
625,>XM_001389051.3,An01g06640
627,>XM_001389054.3,An01g06670
629,>XM_001389055.1,An01g06690
631,>XM_001389057.1,An01g06710
633,>XM_001389061.1,An01g06750
635,>XM_001389063.3,An01g06770
637,>XM_001389067.1,An01g06810
639,>XM_001389068.1,An01g06820
641,>XM_001389072.3,An01g06860
643,>XM_001389074.1,An01g06880
645,>XM_001389077.3,An01g06910
647,>XM_001389078.3,An01g06920
649,>XM_001389080.3,An01g06940
651,>XM_001389082.3,An01g06960
653,>XM_001389083.3,An01g06970
655,>XM_001389085.3,An01g06990
657,>XM_001389086.3,An01g07000
659,>XM_001389087.3,An01g07010
661,>XM_001389089.3,An01g07025
663,>XM_001389090.1,An01g07030
665,>XM_001389091.3,An01g07040
667,>XM_001389092.1,An01g07050
669,>XM_001389093.3,An01g07060
671,>XM_001389098.3,An01g07100
673,>XM_001389102.1,An01g07150
675,>XM_001389103.1,An01g07160
677,>XM_001389104.1,An01g07170
679,>XM_001389105.3,An01g07180
681,>XM_001389106.3,An01g07190
683,>XM_001389107.3,An01g07200
685,>XM_001389108.3,An01g07210
687,>XM_001389109.1,An01g07220
689,>XM_001389110.3,An01g07230
691,>XM_001389111.1,An01g07240
693,>XM_001389112.3,An01g07250
695,>XM_001389113.3,An01g07260
697,>XM_001389114.1,An01g07270
699,>XM_001389115.3,An01g07280
701,>XM_001389117.3,An01g07300
703,>XM_001389119.3,An01g07320
705,>XM_001389122.3,An01g07350
707,>XM_001389124.3,An01g07370
709,>XM_001389125.3,An01g07380
711,>XM_001389126.3,An01g07390
713,>XM_001389128.3,An01g07410
715,>XM_001389129.3,An01g07420
717,>XM_001389138.3,An01g07500
719,>XM_001389139.3,An01g07510
721,>XM_001389141.3,An01g07530
723,>XM_001389147.1,An01g07590
725,>XM_001389150.3,An01g07615
727,>XM_001389152.1,An01g07650
729,>XM_001389153.3,An01g07660
731,>XM_001389159.3,An01g07720
733,>XM_001389165.3,An01g07770
735,>XM_001389169.3,An01g07810
737,>XM_001389170.3,An01g07820
739,>XM_001389172.1,An01g07840
741,>XM_001389174.1,An01g07860
743,>XM_001389175.3,An01g07870
745,>XM_001389183.1,An01g07950
747,>XM_001389186.1,An01g07980
749,>XM_001389187.3,An01g07990
751,>XM_001389189.1,An01g08010
753,>XM_001389190.3,An01g08020
755,>XM_001389191.3,An01g08030
757,>XM_001389193.3,An01g08050
759,>XM_001389197.3,An01g08090
761,>XM_001389198.3,An01g08100
763,>XM_001389199.1,An01g08110
765,>XM_001389200.1,An01g08120
767,>XM_001389201.3,An01g08130
769,>XM_001389203.1,An01g08150
771,>XM_001389205.1,An01g08170
773,>XM_001389206.3,An01g08180
775,>XM_001389211.1,An01g08230
777,>XM_001389217.3,An01g08280
779,>XM_001389222.1,An01g08370
781,>XM_001389223.1,An01g08380
783,>XM_001389224.1,An01g08390
785,>XM_001389225.3,An01g08400
787,>XM_001389226.3,An01g08410
789,>XM_001389227.3,An01g08420
791,>XM_001389228.3,An01g08430
793,>XM_001389229.3,An01g08440
795,>XM_001389234.3,An01g08490
797,>XM_001389235.3,An01g08500
799,>XM_001389236.3,An01g08510
801,>XM_001389237.3,An01g08520
803,>XM_001389238.3,kexB
805,>XM_001389239.1,An01g08540
807,>XM_001389240.3,An01g08550
809,>XM_001389242.3,An01g08570
811,>XM_001389243.3,An01g08580
813,>XM_001389244.3,An01g08590
815,>XM_001389245.3,An01g08600
817,>XM_001389246.3,An01g08610
819,>XM_001389247.1,An01g08620
821,>XM_001389248.1,An01g08630
823,>XM_001389250.1,An01g08650
825,>XM_001389251.3,An01g08660
827,>XM_001389254.1,An01g08690
829,>XM_001389256.1,An01g08710
831,>XM_001389257.3,An01g08720
833,>XM_001389258.3,An01g08730
835,>XM_001389263.3,An01g08780
837,>XM_001389264.3,An01g08790
839,>XM_001389269.1,An01g08840
841,>XM_001389270.3,An01g08850
843,>XM_001389271.3,An01g08860
845,>XM_001389272.3,An01g08870
847,>XM_001389273.3,An01g08880
849,>XM_001389274.3,An01g08890
851,>XM_001389275.3,An01g08900
853,>XM_001389277.1,An01g08920
855,>XM_001389279.3,An01g08950
857,>XM_001389280.3,An01g08960
859,>XM_001389282.3,An01g08980
861,>XM_001389284.3,An01g09000
863,>XM_001389285.1,An01g09010
865,>XM_001389288.3,An01g09040
867,>XM_001389289.1,An01g09050
869,>XM_001389294.3,An01g09100
871,>XM_001389296.3,An01g09120
873,>XM_001389297.3,An01g09140
875,>XM_001389301.1,An01g09170
877,>XM_001389303.3,An01g09190
879,>XM_001389305.3,An01g09220
881,>XM_001389310.3,An01g09270
883,>XM_001389312.3,An01g09290
885,>XM_001389314.3,An01g09310
887,>XM_001389315.1,An01g09320
889,>XM_001389318.3,An01g09350
891,>XM_001389322.1,An01g09390
893,>XM_001389323.1,An01g09400
895,>XM_001389331.3,An01g09480
897,>XM_001389332.3,An01g09490
899,>XM_001389333.3,An01g09500
901,>XM_001389334.3,An01g09510
903,>XM_001389335.3,An01g09520
905,>XM_001389337.1,An01g09540
907,>XM_001389338.3,An01g09550
909,>XM_001389340.1,An01g09570
911,>XM_001389342.3,An01g09590
913,>XM_001389344.3,An01g09610
915,>XM_001389345.1,An01g09620
917,>XM_001389346.3,An01g09630
919,>XM_001389347.1,An01g09640
921,>XM_001389348.3,An01g09650
923,>XM_001389356.3,An01g09730
925,>XM_001389357.1,An01g09740
927,>XM_001389358.1,An01g09750
929,>XM_001389359.1,An01g09760
931,>XM_001389361.1,An01g09780
933,>XM_001389363.3,An01g09800
935,>XM_001389364.1,An01g09810
937,>XM_001389366.3,An01g09830
939,>XM_001389367.3,An01g09840
941,>XM_001389368.1,An01g09850
943,>XM_001389369.1,An01g09860
945,>XM_001389371.3,An01g09880
947,>XM_001389372.3,An01g09890
949,>XM_001389373.1,An01g09900
951,>XM_001389376.1,An01g09930
953,>XM_001389377.3,An01g09940
955,>XM_001389378.1,An01g09950
957,>XM_001389379.3,xlnD
959,>XM_001389381.3,An01g09980
961,>XM_001389382.1,An01g10000
963,>XM_001389383.3,An01g10010
965,>XM_001389387.3,An01g10050
967,>XM_001389388.1,An01g10060
969,>XM_001389389.1,An01g10070
971,>XM_001389392.1,An01g10100
973,>XM_001389396.3,An01g10140
975,>XM_001389397.1,An01g10150
977,>XM_001389399.1,An01g10170
979,>XM_001389401.3,An01g10190
981,>XM_001389406.1,An01g10240
983,>XM_001389408.1,An01g10270
985,>XM_001389413.1,An01g10320
987,>XM_001389415.1,An01g10340
989,>XM_001389417.3,An01g10360
991,>XM_001389419.3,An01g10380
993,>XM_001389427.3,An01g10460
995,>XM_001389435.3,An01g10540
997,>XM_001389438.3,An01g10570
999,>XM_001389439.3,An01g10580
1001,>XM_001389441.3,An01g10600
1003,>XM_001389442.1,An01g10610
1005,>XM_001389443.3,An01g10620
1007,>XM_001389445.1,An01g10640
1009,>XM_001389446.1,An01g10650
1011,>XM_001389449.1,An01g10690
1013,>XM_001389452.3,An01g10720
1015,>XM_001389454.3,An01g10740
1017,>XM_001389457.3,An01g10770
1019,>XM_001389459.3,An01g10790
1021,>XM_001389460.1,An01g10800
1023,>XM_001389464.1,An01g10840
1025,>XM_001389468.3,An01g10880
1027,>XM_001389470.3,An01g10900
1029,>XM_001389472.3,An01g10920
1031,>XM_001389474.1,An01g10940
1033,>XM_001389475.3,An01g10950
1035,>XM_001389476.3,An01g10960
1037,>XM_001389477.1,An01g10970
1039,>XM_001389479.1,An01g10990
1041,>XM_001389480.1,An01g11000
1043,>XM_001389481.3,An01g11010
1045,>XM_001389484.1,An01g11070
1047,>XM_001389490.1,An01g11140
1049,>XM_001389492.3,An01g11160
1051,>XM_001389493.1,An01g11170
1053,>XM_001389494.3,An01g11180
1055,>XM_001389502.3,An01g11270
1057,>XM_001389504.1,An01g11290
1059,>XM_001389506.3,An01g11310
1061,>XM_001389507.1,An01g11320
1063,>XM_001389508.1,An01g11330
1065,>XM_001389509.3,An01g11340
1067,>XM_001389513.1,An01g11380
1069,>XM_001389515.3,An01g11400
1071,>XM_001389517.1,An01g11420
1073,>XM_001389518.3,An01g11430
1075,>XM_001389519.3,An01g11440
1077,>XM_001389521.1,An01g11470
1079,>XM_001389522.1,An01g11480
1081,>XM_001389524.1,An01g11510
1083,>XM_001389525.1,pgaI
1085,>XM_001389527.3,An01g11540
1087,>XM_001389528.1,An01g11550
1089,>XM_001389531.1,An01g11580
1091,>XM_001389535.1,An01g11620
1093,>XM_001389536.3,An01g11630
1095,>XM_001389538.1,An01g11650
1097,>XM_001389539.3,cbhB
1099,>XM_001389540.3,An01g11670
1101,>XM_001389541.3,An01g11680
1103,>XM_001389547.1,An01g11740
1105,>XM_001389548.1,An01g11750
1107,>XM_001389549.3,An01g11760
1109,>XM_001389551.1,An01g11780
1111,>XM_001389552.1,An01g11790
1113,>XM_001389553.1,An01g11800
1115,>XM_001389554.3,An01g11810
1117,>XM_001389562.3,An01g11900
1119,>XM_001389563.3,An01g11910
1121,>XM_001389564.1,An01g11920
1123,>XM_001389567.3,An01g11950
1125,>XM_001389568.3,An01g11960
1127,>XM_001389569.1,An01g11970
1129,>XM_001389570.3,An01g11990
1131,>XM_001389571.1,An01g12000
1133,>XM_001389573.1,An01g12020
1135,>XM_001389576.1,An01g12050
1137,>XM_001389581.3,An01g12100
1139,>XM_001389583.3,An01g12120
1141,>XM_001389584.3,An01g12130
1143,>XM_001389585.3,lacA+
1145,>XM_001389587.3,An01g12170
1147,>XM_001389590.1,An01g12200
1149,>XM_001389591.3,An01g12210
1151,>XM_001389592.3,An01g12220
1153,>XM_001389593.3,An01g12230
1155,>XM_001389594.3,An01g12240
1157,>XM_001389595.3,An01g12250
1159,>XM_001389597.1,An01g12270
1161,>XM_001389598.3,An01g12290
1163,>XM_001389599.1,An01g12300
1165,>XM_001389600.1,An01g12310
1167,>XM_001389601.3,An01g12320
1169,>XM_001389602.3,An01g12330
1171,>XM_001389604.3,An01g12340
1173,>XM_001389605.3,An01g12360
1175,>XM_001389607.3,An01g12380
1177,>XM_001389608.1,An01g12390
1179,>XM_001389610.1,An01g12400
1181,>XM_001389611.1,An01g12410
1183,>XM_001389612.3,An01g12420
1185,>XM_001389614.3,An01g12440
1187,>XM_001389615.3,An01g12450
1189,>XM_001389616.1,An01g12460
1191,>XM_001389618.3,An01g12480
1193,>XM_001389620.3,An01g12500
1195,>XM_001389621.3,An01g12520
1197,>XM_001389622.3,An01g12530
1199,>XM_001389624.3,An01g12550
1201,>XM_001389626.3,An01g12570
1203,>XM_001389627.1,An01g12580
1205,>XM_001389628.3,An01g12590
1207,>XM_001389629.1,An01g12600
1209,>XM_001389633.1,An01g12640
1211,>XM_001389638.1,An01g12700
1213,>XM_001389639.3,An01g12710
1215,>XM_001389642.1,An01g12740
1217,>XM_001389646.1,An01g12780
1219,>XM_001389648.3,An01g12800
1221,>XM_001389650.3,An01g12820
1223,>XM_001389660.3,An01g12950
1225,>XM_001389662.1,An01g12970
1227,>XM_001389664.3,An01g12990
1229,>XM_001389665.1,An01g13000
1231,>XM_001389666.3,An01g13010
1233,>XM_001389668.3,An01g13030
1235,>XM_001389673.3,An01g13080
1237,>XM_001389675.3,An01g13100
1239,>XM_001389677.3,An01g13120
1241,>XM_001389678.3,An01g13130
1243,>XM_001389680.3,An01g13160
1245,>XM_001389683.3,An01g13190
1247,>XM_001389684.1,An01g13200
1249,>XM_001389685.1,An01g13210
1251,>XM_001389686.1,An01g13220
1253,>XM_001389688.1,An01g13240
1255,>XM_001389690.1,An01g13260
1257,>XM_001389691.3,An01g13270
1259,>XM_001389692.3,An01g13280
1261,>XM_001389698.1,An01g13340
1263,>XM_001389699.3,An01g13350
1265,>XM_001389703.1,An01g13400
1267,>XM_001389708.3,An01g13450
1269,>XM_001389709.3,An01g13460
1271,>XM_001389710.3,An01g13470
1273,>XM_001389717.3,An01g13530
1275,>XM_001389720.3,An01g13560
1277,>XM_001389722.3,An01g13580
1279,>XM_001389723.1,An01g13590
1281,>XM_001389724.3,An01g13600
1283,>XM_001389727.3,An01g13630
1285,>XM_001389728.3,An01g13640
1287,>XM_001389729.3,An01g13650
1289,>XM_001389730.3,An01g13660
1291,>XM_001389731.1,An01g13670
1293,>XM_001389732.3,An01g13680
1295,>XM_001389739.3,An01g13750
1297,>XM_001389742.3,An01g13780
1299,>XM_001389744.1,An01g13810
1301,>XM_001389745.1,An01g13820
1303,>XM_001389750.3,An01g13880
1305,>XM_001389751.3,An01g13890
1307,>XM_001389754.3,An01g13920
1309,>XM_001389756.1,An01g13940
1311,>XM_001389757.1,An01g13950
1313,>XM_001389758.3,An01g13960
1315,>XM_001389760.1,An01g13980
1317,>XM_001389763.1,An01g14010
1319,>XM_001389765.1,An01g14030
1321,>XM_001389766.1,An01g14040
1323,>XM_001389771.3,An01g14080
1325,>XM_001389772.1,An01g14090
1327,>XM_001389774.3,An01g14110
1329,>XM_001389775.1,An01g14120
1331,>XM_001389776.3,leu2A
1333,>XM_001389777.3,An01g14140
1335,>XM_001389779.3,An01g14180
1337,>XM_001389780.3,An01g14200
1339,>XM_001389782.1,An01g14230
1341,>XM_001389783.3,An01g14250
1343,>XM_001389784.3,An01g14280
1345,>XM_001389786.3,An01g14310
1347,>XM_001389792.3,An01g14390
1349,>XM_001389794.1,An01g14410
1351,>XM_001389795.3,An01g14420
1353,>XM_001389798.3,An01g14440
1355,>XM_001389799.1,An01g14460
1357,>XM_001389802.1,An01g14500
1359,>XM_001389803.3,An01g14510
1361,>XM_001389804.3,An01g14520
1363,>XM_001389805.3,An01g14530
1365,>XM_001389807.1,An01g14550
1367,>XM_001389810.1,An01g14590
1369,>XM_001389811.3,An01g14600
1371,>XM_001389813.1,An01g14620
1373,>XM_001389814.3,An01g14630
1375,>XM_001389815.1,An01g14640
1377,>XM_001389816.3,An01g14650
1379,>XM_001389817.3,An01g14660
1381,>XM_001389818.3,pgaE
1383,>XM_001389819.3,An01g14680
1385,>XM_001389822.1,An01g14710
1387,>XM_001389825.3,goxC
1389,>XM_001389827.1,An01g14760
1391,>XM_001389828.3,An01g14770
1393,>XM_001389829.3,An01g14780
1395,>XM_001389830.1,An01g14790
1397,>XM_001389831.1,An01g14800
1399,>XM_001389833.3,An01g14820
1401,>XM_001389835.3,An01g14840
1403,>XM_001389837.3,An01g14860
1405,>XM_001389838.1,An01g14870
1407,>XM_001389839.1,An01g14880
1409,>XM_001389840.1,An01g14890
1411,>XM_001389841.1,An01g14900
1413,>XM_001389843.1,An01g14920
1415,>XM_001389844.1,An01g14930
1417,>XM_001389845.3,An01g14940
1419,>XM_001389846.1,An01g14950
1421,>XM_001389847.3,An01g14960
1423,>XM_001389849.1,An01g14980
1425,>XM_001389851.3,An01g15000
1427,>XM_001389860.1,An01g15100
1429,>XM_001389861.1,An01g15110
1431,>XM_001389863.3,An01g15130
1433,>XM_001389864.1,An01g15140
1435,>XM_001389869.3,An01g15190
1437,>XM_001389871.3,An03g00010
1439,>XM_001389873.1,An03g00030
1441,>XM_001389874.1,An03g00040
1443,>XM_001389876.1,An03g00060
1445,>XM_001389883.3,An03g00130
1447,>XM_001389884.1,An03g00140
1449,>XM_001389887.3,An03g00170
1451,>XM_001389889.1,pelB
1453,>XM_001389890.3,An03g00200
1455,>XM_001389891.3,An03g00210
1457,>XM_001389893.3,An03g00230
1459,>XM_001389894.3,An03g00240
1461,>XM_001389895.1,An03g00250
1463,>XM_001389898.3,An03g00280
1465,>XM_001389901.1,An03g00310
1467,>XM_001389906.1,An03g00360
1469,>XM_001389907.1,An03g00370
1471,>XM_001389909.3,An03g00380
1473,>XM_001389910.1,An03g00400
1475,>XM_001389911.3,An03g00410
1477,>XM_001389912.1,An03g00420
1479,>XM_001389914.1,An03g00450
1481,>XM_001389915.1,An03g00460
1483,>XM_001389917.3,An03g00480
1485,>XM_001389918.3,An03g00490
1487,>XM_001389923.1,An03g00550
1489,>XM_001389924.3,An03g00560
1491,>XM_001389925.1,An03g00580
1493,>XM_001389926.3,An03g00590
1495,>XM_001389927.1,An03g00600
1497,>XM_001389931.3,An03g00640
1499,>XM_001389932.1,An03g00650
1501,>XM_001389933.3,An03g00660
1503,>XM_001389934.1,An03g00670
1505,>XM_001389936.3,An03g00690
1507,>XM_001389938.3,An03g00720
1509,>XM_001389939.1,An03g00730
1511,>XM_001389943.3,An03g00770
1513,>XM_001389944.3,An03g00790
1515,>XM_001389950.1,An03g00850
1517,>XM_001389955.1,An03g00900
1519,>XM_001389956.1,An03g00910
1521,>XM_001389957.1,An03g00920
1523,>XM_001389961.3,axhA
1525,>XM_001389963.3,An03g00980
