>XM_001388418.3 Aspergillus niger uncharacterized protein (An01g00030), partial mRNA
>XM_001388613.1 Aspergillus niger uncharacterized protein (An01g02120), partial mRNA
>XM_001388618.1 Aspergillus niger uncharacterized protein (An01g02170), partial mRNA
>XM_001388619.3 Aspergillus niger uncharacterized protein (An01g02180), partial mRNA
>XM_001388620.1 Aspergillus niger uncharacterized protein (An01g02190), partial mRNA
>XM_001388621.3 Aspergillus niger uncharacterized protein (An01g02200), partial mRNA
>XM_001388622.1 Aspergillus niger uncharacterized protein (An01g02210), partial mRNA
>XM_001388624.1 Aspergillus niger uncharacterized protein (An01g02230), partial mRNA
>XM_001388627.3 Aspergillus niger uncharacterized protein (An01g02260), partial mRNA
>XM_001388631.3 Aspergillus niger uncharacterized protein (An01g02300), partial mRNA
>XM_001388632.3 Aspergillus niger uncharacterized protein (An01g02310), partial mRNA
>XM_001388633.3 Aspergillus niger uncharacterized protein (An01g02320), partial mRNA
>XM_001388634.3 Aspergillus niger uncharacterized protein (An01g02330), partial mRNA
>XM_001388635.3 Aspergillus niger uncharacterized protein (An01g02340), partial mRNA
>XM_001388638.3 Aspergillus niger uncharacterized protein (An01g02370), partial mRNA
>XM_001388642.3 Aspergillus niger uncharacterized protein (An01g02410), partial mRNA
>XM_001388643.1 Aspergillus niger uncharacterized protein (An01g02420), partial mRNA
>XM_001388645.1 Aspergillus niger uncharacterized protein (An01g02440), partial mRNA
>XM_001388646.3 Aspergillus niger uncharacterized protein (An01g02460), partial mRNA
>XM_001388650.3 Aspergillus niger uncharacterized protein (An01g02500), partial mRNA
>XM_001388651.3 Aspergillus niger hypothetical protein (An01g02510), partial mRNA
>XM_001388662.3 Aspergillus niger uncharacterized protein (An01g02630), partial mRNA
>XM_001388663.3 Aspergillus niger uncharacterized protein (An01g02640), partial mRNA
>XM_001388667.1 Aspergillus niger hypothetical protein (An01g02680), partial mRNA
>XM_001388670.1 Aspergillus niger uncharacterized protein (An01g02720), partial mRNA
>XM_001388671.3 Aspergillus niger uncharacterized protein (An01g02730), partial mRNA
>XM_001388672.1 Aspergillus niger uncharacterized protein (An01g02740), partial mRNA
>XM_001388674.1 Aspergillus niger uncharacterized protein (An01g02760), partial mRNA
>XM_001388677.1 Aspergillus niger uncharacterized protein (An01g02800), partial mRNA
>XM_001388678.1 Aspergillus niger uncharacterized protein (An01g02810), partial mRNA
>XM_001388680.3 Aspergillus niger uncharacterized protein (An01g02830), partial mRNA
>XM_001388681.3 Aspergillus niger uncharacterized protein (An01g02840), partial mRNA
>XM_001388683.1 Aspergillus niger uncharacterized protein (An01g02860), partial mRNA
>XM_001388684.3 Aspergillus niger uncharacterized protein (An01g02870), partial mRNA
>XM_001388685.3 Aspergillus niger uncharacterized protein (An01g02880), partial mRNA
>XM_001388687.3 Aspergillus niger uncharacterized protein (An01g02900), partial mRNA
>XM_001388688.3 Aspergillus niger uncharacterized protein (An01g02910), partial mRNA
>XM_001388689.3 Aspergillus niger uncharacterized protein (An01g02920), partial mRNA
>XM_001388690.1 Aspergillus niger uncharacterized protein (An01g02930), partial mRNA
>XM_001388692.3 Aspergillus niger uncharacterized protein (An01g02950), partial mRNA
>XM_001388693.3 Aspergillus niger uncharacterized protein (An01g02960), partial mRNA
>XM_001388694.3 Aspergillus niger uncharacterized protein (An01g02970), partial mRNA
>XM_001388696.3 Aspergillus niger hypothetical protein (An01g02990), partial mRNA
>XM_001388697.3 Aspergillus niger uncharacterized protein (An01g03000), partial mRNA
>XM_001388698.1 Aspergillus niger hypothetical protein (An01g03010), partial mRNA
>XM_001388700.1 Aspergillus niger uncharacterized protein (An01g03030), partial mRNA
>XM_001388703.3 Aspergillus niger uncharacterized protein (An01g03060), partial mRNA
>XM_001388704.3 Aspergillus niger mitochondrial 54S ribosomal protein mL41 (An01g03070), partial mRNA
>XM_001388705.1 Aspergillus niger uncharacterized protein (An01g03080), partial mRNA
>XM_001388708.3 Aspergillus niger mitochondrial 37S ribosomal protein uS7m (An01g03110), partial mRNA
>XM_001388709.3 Aspergillus niger uncharacterized protein (An01g03120), partial mRNA
>XM_001388710.3 Aspergillus niger uncharacterized protein (An01g03130), partial mRNA
>XM_001388712.3 Aspergillus niger uncharacterized protein (An01g03150), partial mRNA
>XM_001388713.3 Aspergillus niger 40S ribosomal protein eS8 (An01g03160), partial mRNA
>XM_001388714.1 Aspergillus niger uncharacterized protein (An01g03170), partial mRNA
>XM_001388715.3 Aspergillus niger uncharacterized protein (An01g03180), partial mRNA
>XM_001388718.1 Aspergillus niger uncharacterized protein (An01g03210), partial mRNA
>XM_001388719.1 Aspergillus niger uncharacterized protein (An01g03220), partial mRNA
>XM_001388720.3 Aspergillus niger hypothetical protein (An01g03230), partial mRNA
>XM_001388722.1 Aspergillus niger uncharacterized protein (An01g03250), partial mRNA
>XM_001388723.3 Aspergillus niger mitochondrial 37S ribosomal protein mS37 (An01g03260), partial mRNA
>XM_001388724.3 Aspergillus niger uncharacterized protein (An01g03270), partial mRNA
>XM_001388728.3 Aspergillus niger uncharacterized protein (An01g03330), partial mRNA
>XM_001388729.3 Aspergillus niger uncharacterized protein (An01g03340), partial mRNA
>XM_001388730.3 Aspergillus niger uncharacterized protein (An01g03350), partial mRNA
>XM_001388733.3 Aspergillus niger uncharacterized protein (An01g03390), partial mRNA
>XM_001388735.1 Aspergillus niger uncharacterized protein (An01g03410), partial mRNA
>XM_001388739.3 Aspergillus niger 60S ribosomal protein eL15 (rpl15), partial mRNA
>XM_001388740.3 Aspergillus niger uncharacterized protein (An01g03470), partial mRNA
>XM_001388741.3 Aspergillus niger uncharacterized protein (An01g03480), partial mRNA
>XM_001388746.3 Aspergillus niger hypothetical protein (An01g03530), partial mRNA
>XM_001388750.3 Aspergillus niger uncharacterized protein (An01g03570), partial mRNA
>XM_001388751.3 Aspergillus niger 60S ribosomal protein eL20 (An01g03580), partial mRNA
>XM_001388754.3 Aspergillus niger uncharacterized protein (An01g03610), partial mRNA
>XM_001388757.3 Aspergillus niger uncharacterized protein (An01g03640), partial mRNA
>XM_001388758.3 Aspergillus niger uncharacterized protein (An01g03650), partial mRNA
>XM_001388761.3 Aspergillus niger uncharacterized protein (An01g03680), partial mRNA
>XM_001388763.1 Aspergillus niger uncharacterized protein (An01g03700), partial mRNA
>XM_001388765.3 Aspergillus niger uncharacterized protein (An01g03720), partial mRNA
>XM_001388766.1 Aspergillus niger uncharacterized protein (An01g03730), partial mRNA
>XM_001388767.3 Aspergillus niger D-xylose reductase xyrA-Aspergillus niger (xyrA), partial mRNA
>XM_001388768.1 Aspergillus niger uncharacterized protein (An01g03750), partial mRNA
>XM_001388769.1 Aspergillus niger uncharacterized protein (An01g03760), partial mRNA
>XM_001388770.3 Aspergillus niger uncharacterized protein (An01g03770), partial mRNA
>XM_001388772.1 Aspergillus niger uncharacterized protein (An01g03790), partial mRNA
>XM_001388774.1 Aspergillus niger uncharacterized protein (An01g03810), partial mRNA
>XM_001388775.3 Aspergillus niger uncharacterized protein (An01g03820), partial mRNA
>XM_001388779.3 Aspergillus niger uncharacterized protein (An01g03870), partial mRNA
>XM_001388794.3 Aspergillus niger uncharacterized protein (An01g04030), partial mRNA
>XM_001388795.3 Aspergillus niger secretion-associated GTP-binding protein sarA-Aspergillus niger (sarA), partial mRNA
>XM_001388796.3 Aspergillus niger uncharacterized protein (An01g04050), partial mRNA
>XM_001388799.3 Aspergillus niger uncharacterized protein (An01g04080), partial mRNA
>XM_001388802.3 Aspergillus niger uncharacterized protein (An01g04110), partial mRNA
>XM_001388803.3 Aspergillus niger uncharacterized protein (An01g04120), partial mRNA
>XM_001388806.3 Aspergillus niger uncharacterized protein (An01g04150), partial mRNA
>XM_001388809.3 Aspergillus niger uncharacterized protein (An01g04180), partial mRNA
>XM_001388812.3 Aspergillus niger uncharacterized protein (An01g04210), partial mRNA
>XM_001388814.3 Aspergillus niger uncharacterized protein (An01g04230), partial mRNA
>XM_001388815.3 Aspergillus niger 60S ribosomal protein uL10 (An01g04240), partial mRNA
>XM_001388816.1 Aspergillus niger uncharacterized protein (An01g04250), partial mRNA
>XM_001388817.3 Aspergillus niger uncharacterized protein (An01g04260), partial mRNA
>XM_001388819.3 Aspergillus niger uncharacterized protein (An01g04280), partial mRNA
>XM_001388820.1 Aspergillus niger uncharacterized protein (An01g04300), partial mRNA
>XM_001388821.3 Aspergillus niger uncharacterized protein (An01g04310), partial mRNA
>XM_001388823.1 Aspergillus niger uncharacterized protein (An01g04330), partial mRNA
>XM_001388826.3 Aspergillus niger hypothetical protein (An01g04360), partial mRNA
>XM_001388827.3 Aspergillus niger uncharacterized protein (An01g04370), partial mRNA
>XM_001388828.1 Aspergillus niger uncharacterized protein (An01g04380), partial mRNA
>XM_001388830.3 Aspergillus niger uncharacterized protein (An01g04400), partial mRNA
>XM_001388831.3 Aspergillus niger uncharacterized protein (An01g04410), partial mRNA
>XM_001388832.3 Aspergillus niger uncharacterized protein (An01g04420), partial mRNA
>XM_001388833.3 Aspergillus niger uncharacterized protein (An01g04430), partial mRNA
>XM_001388835.3 Aspergillus niger uncharacterized protein (An01g04450), partial mRNA
>XM_001388844.3 Aspergillus niger uncharacterized protein (An01g04530), partial mRNA
>XM_001388847.3 Aspergillus niger uncharacterized protein (An01g04560), partial mRNA
>XM_001388848.1 Aspergillus niger uncharacterized protein (An01g04570), partial mRNA
>XM_001388849.3 Aspergillus niger uncharacterized protein (An01g04590), partial mRNA
>XM_001388850.1 Aspergillus niger PDI related protein A prpA-Aspergillus niger (prpA), partial mRNA
>XM_001388851.1 Aspergillus niger uncharacterized protein (An01g04610), partial mRNA
>XM_001388852.1 Aspergillus niger uncharacterized protein (An01g04620), partial mRNA
>XM_001388853.3 Aspergillus niger uncharacterized protein (An01g04630), partial mRNA
>XM_001388854.3 Aspergillus niger uncharacterized protein (An01g04640), partial mRNA
>XM_001388855.3 Aspergillus niger uncharacterized protein (An01g04650), partial mRNA
>XM_001388856.1 Aspergillus niger hypothetical protein (An01g04660), partial mRNA
>XM_001388857.1 Aspergillus niger uncharacterized protein (An01g04670), partial mRNA
>XM_001388858.1 Aspergillus niger uncharacterized protein (An01g04680), partial mRNA
>XM_001388859.1 Aspergillus niger uncharacterized protein (An01g04690), partial mRNA
>XM_001388860.1 Aspergillus niger uncharacterized protein (An01g04700), partial mRNA
>XM_001388861.3 Aspergillus niger uncharacterized protein (An01g04710), partial mRNA
>XM_001388862.3 Aspergillus niger uncharacterized protein (An01g04720), partial mRNA
>XM_001388863.3 Aspergillus niger uncharacterized protein (An01g04730), partial mRNA
>XM_001388864.3 Aspergillus niger 60S ribosomal protein uL11 (An01g04740), partial mRNA
>XM_001388872.3 Aspergillus niger uncharacterized protein (An01g04830), partial mRNA
>XM_001388877.3 Aspergillus niger uncharacterized protein (An01g04880), partial mRNA
>XM_001388879.3 Aspergillus niger uncharacterized protein (An01g04900), partial mRNA
>XM_001388880.3 Aspergillus niger uncharacterized protein (An01g04910), partial mRNA
>XM_001388881.3 Aspergillus niger 60S ribosomal protein eL29 (An01g04920), partial mRNA
>XM_001388882.3 Aspergillus niger uncharacterized protein (An01g04930), partial mRNA
>XM_001388886.3 Aspergillus niger uncharacterized protein (An01g04970), partial mRNA
>XM_001388887.3 Aspergillus niger uncharacterized protein (An01g04980), partial mRNA
>XM_001388892.3 Aspergillus niger uncharacterized protein (An01g05030), partial mRNA
>XM_001388893.1 Aspergillus niger uncharacterized protein (An01g05040), partial mRNA
>XM_001388894.3 Aspergillus niger uncharacterized protein (An01g05050), partial mRNA
>XM_001388895.3 Aspergillus niger uncharacterized protein (An01g05060), partial mRNA
>XM_001388896.3 Aspergillus niger uncharacterized protein (An01g05070), partial mRNA
>XM_001388899.1 Aspergillus niger uncharacterized protein (An01g05100), partial mRNA
>XM_001388904.3 Aspergillus niger uncharacterized protein (An01g05150), partial mRNA
>XM_001388907.1 Aspergillus niger uncharacterized protein (An01g05190), partial mRNA
>XM_001388908.3 Aspergillus niger uncharacterized protein (An01g05200), partial mRNA
>XM_001388911.3 Aspergillus niger uncharacterized protein (An01g05230), partial mRNA
>XM_001388914.3 Aspergillus niger uncharacterized protein (An01g05260), partial mRNA
>XM_001388915.1 Aspergillus niger uncharacterized protein (An01g05270), partial mRNA
>XM_001388916.1 Aspergillus niger uncharacterized protein (An01g05280), partial mRNA
>XM_001388920.3 Aspergillus niger uncharacterized protein (An01g05320), partial mRNA
>XM_001388922.3 Aspergillus niger uncharacterized protein (An01g05340), partial mRNA
>XM_001388924.3 Aspergillus niger uncharacterized protein (An01g05360), partial mRNA
>XM_001388925.3 Aspergillus niger uncharacterized protein (An01g05370), partial mRNA
>XM_001388928.1 Aspergillus niger uncharacterized protein (An01g05400), partial mRNA
>XM_001388929.3 Aspergillus niger uncharacterized protein (An01g05410), partial mRNA
>XM_001388932.1 Aspergillus niger uncharacterized protein (An01g05450), partial mRNA
>XM_001388934.1 Aspergillus niger uncharacterized protein (An01g05470), partial mRNA
>XM_001388938.3 Aspergillus niger uncharacterized protein (An01g05510), partial mRNA
>XM_001388940.3 Aspergillus niger hypothetical protein (An01g05530), partial mRNA
>XM_001388943.1 Aspergillus niger uncharacterized protein (An01g05570), partial mRNA
>XM_001388944.3 Aspergillus niger uncharacterized protein (An01g05580), partial mRNA
>XM_001388949.1 Aspergillus niger uncharacterized protein (An01g05630), partial mRNA
>XM_001388950.3 Aspergillus niger uncharacterized protein (An01g05640), partial mRNA
>XM_001388951.3 Aspergillus niger uncharacterized protein (An01g05650), partial mRNA
>XM_001388955.3 Aspergillus niger uncharacterized protein (An01g05690), partial mRNA
>XM_001388962.1 Aspergillus niger uncharacterized protein (An01g05750), partial mRNA
>XM_001388963.3 Aspergillus niger uncharacterized protein (An01g05760), partial mRNA
>XM_001388964.3 Aspergillus niger uncharacterized protein (An01g05770), partial mRNA
>XM_001388965.3 Aspergillus niger uncharacterized protein (An01g05780), partial mRNA
>XM_001388966.1 Aspergillus niger uncharacterized protein (An01g05790), partial mRNA
>XM_001388967.3 Aspergillus niger uncharacterized protein (An01g05800), partial mRNA
>XM_001388968.3 Aspergillus niger uncharacterized protein (An01g05810), partial mRNA
>XM_001388969.1 Aspergillus niger uncharacterized protein (An01g05820), partial mRNA
>XM_001388971.3 Aspergillus niger hypothetical protein [truncated ORF] (An01g05840), partial mRNA
>XM_001388973.1 Aspergillus niger uncharacterized protein (An01g05860), partial mRNA
>XM_001388975.1 Aspergillus niger uncharacterized protein (An01g05880), partial mRNA
>XM_001388976.1 Aspergillus niger uncharacterized protein (An01g05890), partial mRNA
>XM_001388977.3 Aspergillus niger uncharacterized protein (An01g05900), partial mRNA
>XM_001388983.3 Aspergillus niger uncharacterized protein (An01g05960), partial mRNA
>XM_001388986.3 Aspergillus niger uncharacterized protein (An01g05990), partial mRNA
>XM_001388987.3 Aspergillus niger uncharacterized protein (An01g06000), partial mRNA
>XM_001388988.1 Aspergillus niger uncharacterized protein (An01g06010), partial mRNA
>XM_001388989.1 Aspergillus niger uncharacterized protein (An01g06020), partial mRNA
>XM_001388991.3 Aspergillus niger uncharacterized protein (An01g06040), partial mRNA
>XM_001388992.3 Aspergillus niger hypothetical protein (An01g06050), partial mRNA
>XM_001388993.3 Aspergillus niger uncharacterized protein (An01g06060), partial mRNA
>XM_001388999.3 Aspergillus niger uncharacterized protein (An01g06120), partial mRNA
>XM_001389002.3 Aspergillus niger uncharacterized protein (An01g06150), partial mRNA
>XM_001389005.3 Aspergillus niger uncharacterized protein (An01g06180), partial mRNA
>XM_001389008.3 Aspergillus niger uncharacterized protein (An01g06210), partial mRNA
>XM_001389010.3 Aspergillus niger uncharacterized protein (An01g06230), partial mRNA
>XM_001389012.1 Aspergillus niger uncharacterized protein (An01g06250), partial mRNA
>XM_001389014.1 Aspergillus niger uncharacterized protein (An01g06270), partial mRNA
>XM_001389015.3 Aspergillus niger uncharacterized protein (An01g06280), partial mRNA
>XM_001389018.3 Aspergillus niger uncharacterized protein (An01g06310), partial mRNA
>XM_001389022.3 Aspergillus niger uncharacterized protein (An01g06340), partial mRNA
>XM_001389023.3 Aspergillus niger uncharacterized protein (An01g06350), partial mRNA
>XM_001389024.1 Aspergillus niger uncharacterized protein (An01g06360), partial mRNA
>XM_001389025.3 Aspergillus niger uncharacterized protein (An01g06370), partial mRNA
>XM_001389028.1 Aspergillus niger hypothetical protein (An01g06400), partial mRNA
>XM_001389030.1 Aspergillus niger uncharacterized protein (An01g06420), partial mRNA
>XM_001389031.1 Aspergillus niger hypothetical protein (An01g06430), partial mRNA
>XM_001389032.3 Aspergillus niger uncharacterized protein (An01g06440), partial mRNA
>XM_001389034.3 Aspergillus niger hypothetical protein (An01g06460), partial mRNA
>XM_001389035.3 Aspergillus niger uncharacterized protein (An01g06470), partial mRNA
>XM_001389036.3 Aspergillus niger uncharacterized protein (An01g06480), partial mRNA
>XM_001389041.3 Aspergillus niger uncharacterized protein (An01g06530), partial mRNA
>XM_001389043.3 Aspergillus niger uncharacterized protein (An01g06550), partial mRNA
>XM_001389044.3 Aspergillus niger uncharacterized protein (An01g06560), partial mRNA
>XM_001389045.3 Aspergillus niger uncharacterized protein (An01g06570), partial mRNA
>XM_001389048.3 Aspergillus niger uncharacterized protein (An01g06610), partial mRNA
>XM_001389049.1 Aspergillus niger uncharacterized protein (An01g06620), partial mRNA
>XM_001389050.1 Aspergillus niger uncharacterized protein (An01g06630), partial mRNA
>XM_001389051.3 Aspergillus niger uncharacterized protein (An01g06640), partial mRNA
>XM_001389054.3 Aspergillus niger uncharacterized protein (An01g06670), partial mRNA
>XM_001389055.1 Aspergillus niger uncharacterized protein (An01g06690), partial mRNA
>XM_001389057.1 Aspergillus niger uncharacterized protein (An01g06710), partial mRNA
>XM_001389061.1 Aspergillus niger uncharacterized protein (An01g06750), partial mRNA
>XM_001389063.3 Aspergillus niger uncharacterized protein (An01g06770), partial mRNA
>XM_001389067.1 Aspergillus niger uncharacterized protein (An01g06810), partial mRNA
>XM_001389068.1 Aspergillus niger uncharacterized protein (An01g06820), partial mRNA
>XM_001389072.3 Aspergillus niger uncharacterized protein (An01g06860), partial mRNA
>XM_001389074.1 Aspergillus niger uncharacterized protein (An01g06880), partial mRNA
>XM_001389077.3 Aspergillus niger uncharacterized protein (An01g06910), partial mRNA
>XM_001389078.3 Aspergillus niger uncharacterized protein (An01g06920), partial mRNA
>XM_001389080.3 Aspergillus niger uncharacterized protein (An01g06940), partial mRNA
>XM_001389082.3 Aspergillus niger uncharacterized protein (An01g06960), partial mRNA
>XM_001389083.3 Aspergillus niger uncharacterized protein (An01g06970), partial mRNA
>XM_001389085.3 Aspergillus niger hypothetical protein (An01g06990), partial mRNA
>XM_001389086.3 Aspergillus niger uncharacterized protein (An01g07000), partial mRNA
>XM_001389087.3 Aspergillus niger uncharacterized protein (An01g07010), partial mRNA
>XM_001389089.3 Aspergillus niger hypothetical protein (An01g07025), partial mRNA
>XM_001389090.1 Aspergillus niger uncharacterized protein (An01g07030), partial mRNA
>XM_001389091.3 Aspergillus niger uncharacterized protein (An01g07040), partial mRNA
>XM_001389092.1 Aspergillus niger uncharacterized protein (An01g07050), partial mRNA
>XM_001389093.3 Aspergillus niger hypothetical protein (An01g07060), partial mRNA
>XM_001389098.3 Aspergillus niger uncharacterized protein (An01g07100), partial mRNA
>XM_001389102.1 Aspergillus niger uncharacterized protein (An01g07150), partial mRNA
>XM_001389103.1 Aspergillus niger uncharacterized protein (An01g07160), partial mRNA
>XM_001389104.1 Aspergillus niger uncharacterized protein (An01g07170), partial mRNA
>XM_001389105.3 Aspergillus niger uncharacterized protein (An01g07180), partial mRNA
>XM_001389106.3 Aspergillus niger uncharacterized protein (An01g07190), partial mRNA
>XM_001389107.3 Aspergillus niger uncharacterized protein (An01g07200), partial mRNA
>XM_001389108.3 Aspergillus niger uncharacterized protein (An01g07210), partial mRNA
>XM_001389109.1 Aspergillus niger uncharacterized protein (An01g07220), partial mRNA
>XM_001389110.3 Aspergillus niger uncharacterized protein (An01g07230), partial mRNA
