,total,NM,NR,XM,XR,NM_XM,NR_XR
His2B:CG33908,1,1,0,0,0,1,0
His4:CG33907,1,1,0,0,0,1,0
His3:CG33806,1,1,0,0,0,1,0
His1:CG33807,1,1,0,0,0,1,0
His2B:CG33906,1,1,0,0,0,1,0
His2A:CG33808,1,1,0,0,0,1,0
His4:CG33905,1,1,0,0,0,1,0
His3:CG33809,1,1,0,0,0,1,0
His1:CG33810,1,1,0,0,0,1,0
His2B:CG33904,1,1,0,0,0,1,0
His4:CG33903,1,1,0,0,0,1,0
His3:CG33812,1,1,0,0,0,1,0
His1:CG33813,1,1,0,0,0,1,0
His2B:CG33902,1,1,0,0,0,1,0
His2A:CG33814,1,1,0,0,0,1,0
His4:CG33901,1,1,0,0,0,1,0
His3:CG33815,1,1,0,0,0,1,0
His1:CG33816,1,1,0,0,0,1,0
His2B:CG33900,1,1,0,0,0,1,0
His2A:CG33817,1,1,0,0,0,1,0
His4:CG33899,1,1,0,0,0,1,0
His3:CG33818,1,1,0,0,0,1,0
His1:CG33819,1,1,0,0,0,1,0
His2B:CG33898,1,1,0,0,0,1,0
His2A:CG33820,1,1,0,0,0,1,0
His4:CG33897,1,1,0,0,0,1,0
His3:CG33821,1,1,0,0,0,1,0
His1:CG33822,1,1,0,0,0,1,0
His2B:CG33896,1,1,0,0,0,1,0
His2A:CG33823,1,1,0,0,0,1,0
His4:CG33895,1,1,0,0,0,1,0
His3:CG33824,1,1,0,0,0,1,0
His1:CG33825,1,1,0,0,0,1,0
His2B:CG33894,1,1,0,0,0,1,0
His2A:CG33826,1,1,0,0,0,1,0
His4:CG33893,1,1,0,0,0,1,0
His3:CG33827,1,1,0,0,0,1,0
His1:CG33828,1,1,0,0,0,1,0
His2B:CG33892,1,1,0,0,0,1,0
His2A:CG33829,1,1,0,0,0,1,0
His4:CG33891,1,1,0,0,0,1,0
His3:CG33830,1,1,0,0,0,1,0
His1:CG33831,1,1,0,0,0,1,0
His2B:CG33890,1,1,0,0,0,1,0
His2A:CG33832,1,1,0,0,0,1,0
His4:CG33889,1,1,0,0,0,1,0
His3:CG33833,1,1,0,0,0,1,0
His1:CG33834,1,1,0,0,0,1,0
His2B:CG33888,1,1,0,0,0,1,0
His2A:CG33835,1,1,0,0,0,1,0
His4:CG33887,1,1,0,0,0,1,0
His3:CG33836,1,1,0,0,0,1,0
His1:CG33837,1,1,0,0,0,1,0
His2B:CG33886,1,1,0,0,0,1,0
His2A:CG33838,1,1,0,0,0,1,0
His4:CG33885,1,1,0,0,0,1,0
His3:CG33839,1,1,0,0,0,1,0
His1:CG33840,1,1,0,0,0,1,0
His2B:CG33884,1,1,0,0,0,1,0
His2A:CG33841,1,1,0,0,0,1,0
His4:CG33883,1,1,0,0,0,1,0
His3:CG33842,1,1,0,0,0,1,0
His1:CG33843,1,1,0,0,0,1,0
His2B:CG33882,1,1,0,0,0,1,0
His2A:CG33844,1,1,0,0,0,1,0
His4:CG33881,1,1,0,0,0,1,0
His3:CG33845,1,1,0,0,0,1,0
His1:CG33846,1,1,0,0,0,1,0
His2B:CG33880,1,1,0,0,0,1,0
His2A:CG33847,1,1,0,0,0,1,0
His4:CG33879,1,1,0,0,0,1,0
His3:CG33848,1,1,0,0,0,1,0
His1:CG33849,1,1,0,0,0,1,0
His2B:CG33878,1,1,0,0,0,1,0
His2A:CG33850,1,1,0,0,0,1,0
His4:CG33877,1,1,0,0,0,1,0
His3:CG33851,1,1,0,0,0,1,0
His1:CG33852,1,1,0,0,0,1,0
His2B:CG33876,1,1,0,0,0,1,0
His2A:CG33853,1,1,0,0,0,1,0
His4:CG33875,1,1,0,0,0,1,0
His3:CG33854,1,1,0,0,0,1,0
His1:CG33855,1,1,0,0,0,1,0
His2B:CG33874,1,1,0,0,0,1,0
His2A:CG33856,1,1,0,0,0,1,0
His4:CG33873,1,1,0,0,0,1,0
His3:CG33857,1,1,0,0,0,1,0
His1:CG33858,1,1,0,0,0,1,0
His2B:CG33872,1,1,0,0,0,1,0
His2A:CG33859,1,1,0,0,0,1,0
His4:CG33871,1,1,0,0,0,1,0
His3:CG33860,1,1,0,0,0,1,0
His1:CG33861,1,1,0,0,0,1,0
His2B:CG33870,1,1,0,0,0,1,0
His2A:CG33862,1,1,0,0,0,1,0
His4:CG33869,1,1,0,0,0,1,0
His3:CG33863,1,1,0,0,0,1,0
His1:CG33864,1,1,0,0,0,1,0
His2B:CG33868,1,1,0,0,0,1,0
His2A:CG33865,1,1,0,0,0,1,0
His3:CG33866,1,1,0,0,0,1,0
Df31,3,3,0,0,0,3,0
CG33919,1,1,0,0,0,1,0
CG33914,2,2,0,0,0,2,0
Spn43Ab,1,1,0,0,0,1,0
CG33774,1,1,0,0,0,1,0
CG33758,1,1,0,0,0,1,0
CG33757,1,1,0,0,0,1,0
CheA46a,1,1,0,0,0,1,0
lola,25,25,0,0,0,25,0
Hao,1,1,0,0,0,1,0
Pex6,2,2,0,0,0,2,0
CG13203,2,2,0,0,0,2,0
CG33626,1,1,0,0,0,1,0
CG33627,1,1,0,0,0,1,0
Dyb,7,7,0,0,0,7,0
CG33752,1,1,0,0,0,1,0
CG33775,1,1,0,0,0,1,0
CG33792,1,1,0,0,0,1,0
Mvk,2,2,0,0,0,2,0
CG33672,1,1,0,0,0,1,0
CG33798,1,1,0,0,0,1,0
seq,2,2,0,0,0,2,0
CG13344,2,2,0,0,0,2,0
CG33155,3,3,0,0,0,3,0
Zasp52,22,22,0,0,0,22,0
CG10731,2,2,0,0,0,2,0
Menl-2,3,3,0,0,0,3,0
Menl-1,1,1,0,0,0,1,0
ste24c,3,3,0,0,0,3,0
nw,5,5,0,0,0,5,0
CheA56a,1,1,0,0,0,1,0
sm,21,21,0,0,0,21,0
CG13430,2,2,0,0,0,2,0
Polr3K,1,1,0,0,0,1,0
Tcs1,1,1,0,0,0,1,0
CG33704,1,1,0,0,0,1,0
Rgk3,4,4,0,0,0,4,0
IM18,2,2,0,0,0,2,0
Jhbp10,1,1,0,0,0,1,0
eys,2,2,0,0,0,2,0
sona,5,5,0,0,0,5,0
Plp,12,12,0,0,0,12,0
Meltrin,2,2,0,0,0,2,0
kay,5,5,0,0,0,5,0
CG33978,5,5,0,0,0,5,0
RhoGAP102A,4,4,0,0,0,4,0
PIP4K,2,2,0,0,0,2,0
Mitf,4,4,0,0,0,4,0
Dyrk3,3,3,0,0,0,3,0
CG4293,5,5,0,0,0,5,0
SkpA,9,9,0,0,0,9,0
pck,3,3,0,0,0,3,0
Adar,15,15,0,0,0,15,0
Hr4,9,9,0,0,0,9,0
z,5,5,0,0,0,5,0
CG42541,4,4,0,0,0,4,0
ovo,5,5,0,0,0,5,0
Vsx2,2,2,0,0,0,2,0
CG5928,3,3,0,0,0,3,0
sdt,14,14,0,0,0,14,0
Cp7Fa,2,2,0,0,0,2,0
CG34028,1,1,0,0,0,1,0
CG34026,2,2,0,0,0,2,0
Ype,2,2,0,0,0,2,0
amrt,1,1,0,0,0,1,0
CG12481,1,1,0,0,0,1,0
drd,1,1,0,0,0,1,0
disco,2,2,0,0,0,2,0
CG34015,1,1,0,0,0,1,0
CG4678,8,8,0,0,0,8,0
CG8188,4,4,0,0,0,4,0
Frq1,4,4,0,0,0,4,0
Hers,8,8,0,0,0,8,0
Cp110,8,8,0,0,0,8,0
fog,6,6,0,0,0,6,0
CG4822,9,9,0,0,0,9,0
CG3164,4,4,0,0,0,4,0
CG3662,4,4,0,0,0,4,0
capt,3,3,0,0,0,3,0
CG34049,1,1,0,0,0,1,0
Jon25Bi,1,1,0,0,0,1,0
CG44001,5,5,0,0,0,5,0
CG33995,3,3,0,0,0,3,0
CG34011,1,1,0,0,0,1,0
Slob,11,11,0,0,0,11,0
Glyat,1,1,0,0,0,1,0
mon2,2,2,0,0,0,2,0
RpS13,3,3,0,0,0,3,0
RpL13,3,3,0,0,0,3,0
CG34043,1,1,0,0,0,1,0
ppk10,1,1,0,0,0,1,0
CG6144,2,2,0,0,0,2,0
CG17140,2,2,0,0,0,2,0
CG17139,1,1,0,0,0,1,0
porin,5,5,0,0,0,5,0
firl,3,3,0,0,0,3,0
vir-1,7,7,0,0,0,7,0
ACXC,2,2,0,0,0,2,0
loqs,6,6,0,0,0,6,0
Ance-3,2,2,0,0,0,2,0
NimB3,1,1,0,0,0,1,0
Dyrk2,7,7,0,0,0,7,0
yuri,8,8,0,0,0,8,0
Pax,9,9,0,0,0,9,0
CG10462,6,6,0,0,0,6,0
CG34051,2,2,0,0,0,2,0
CG34007,2,2,0,0,0,2,0
CG2201,6,6,0,0,0,6,0
CG31693,2,2,0,0,0,2,0
Gapdh1,2,2,0,0,0,2,0
CG34033,1,1,0,0,0,1,0
RanBPM,6,6,0,0,0,6,0
Sod3,5,5,0,0,0,5,0
CG34054,1,1,0,0,0,1,0
CG33964,1,1,0,0,0,1,0
CG34021,1,1,0,0,0,1,0
NAT1,3,3,0,0,0,3,0
Ih,11,11,0,0,0,11,0
CG33460,1,1,0,0,0,1,0
CG33465,1,1,0,0,0,1,0
Sema2b,4,4,0,0,0,4,0
CG4927,1,1,0,0,0,1,0
CG33981,3,3,0,0,0,3,0
dpr13,2,2,0,0,0,2,0
CG34005,2,2,0,0,0,2,0
CG33958,1,1,0,0,0,1,0
CG33998,1,1,0,0,0,1,0
CG34045,1,1,0,0,0,1,0
Dso2,1,1,0,0,0,1,0
CG34040,1,1,0,0,0,1,0
CG34029,1,1,0,0,0,1,0
CG13516,2,2,0,0,0,2,0
twi,3,3,0,0,0,3,0
TM4SF,3,3,0,0,0,3,0
CG4622,2,2,0,0,0,2,0
Mid1,2,2,0,0,0,2,0
Atf-2,1,1,0,0,0,1,0
Tina-1,2,2,0,0,0,2,0
CG34038,2,2,0,0,0,2,0
CG34056,1,1,0,0,0,1,0
CG34057,2,2,0,0,0,2,0
CG33965,1,1,0,0,0,1,0
CG33966,1,1,0,0,0,1,0
Ir62a,1,1,0,0,0,1,0
CG34025,1,1,0,0,0,1,0
CG11583,1,1,0,0,0,1,0
Egfrap,2,2,0,0,0,2,0
CG34030,1,1,0,0,0,1,0
CG43897,17,17,0,0,0,17,0
CG34001,2,2,0,0,0,2,0
CG34012,1,1,0,0,0,1,0
CG10973,1,1,0,0,0,1,0
CG43894,4,4,0,0,0,4,0
Spt20,3,3,0,0,0,3,0
nuf,12,12,0,0,0,12,0
CG34039,1,1,0,0,0,1,0
Trl,10,10,0,0,0,10,0
CG7255,5,5,0,0,0,5,0
CG33986,1,1,0,0,0,1,0
CG33985,1,1,0,0,0,1,0
CG42729,1,1,0,0,0,1,0
obst-H,1,1,0,0,0,1,0
pHCl-1,17,17,0,0,0,17,0
CG33258,2,2,0,0,0,2,0
CG34002,1,1,0,0,0,1,0
CG13380,3,3,0,0,0,3,0
CG4174,3,3,0,0,0,3,0
Deaf1,5,5,0,0,0,5,0
CG33969,2,2,0,0,0,2,0
Glut4EF,8,8,0,0,0,8,0
GstD1,2,2,0,0,0,2,0
Octbeta3R,4,4,0,0,0,4,0
Octbeta2R,6,6,0,0,0,6,0
CG15888,1,1,0,0,0,1,0
Dpm3,1,1,0,0,0,1,0
side-IV,2,2,0,0,0,2,0
kibra,2,2,0,0,0,2,0
CG8927,2,2,0,0,0,2,0
ema,3,3,0,0,0,3,0
CG42821,1,1,0,0,0,1,0
CG34008,1,1,0,0,0,1,0
Octbeta1R,4,4,0,0,0,4,0
hh,1,1,0,0,0,1,0
CG34027,1,1,0,0,0,1,0
osy,3,3,0,0,0,3,0
CG12877,1,1,0,0,0,1,0
CG14062,1,1,0,0,0,1,0
Pglym78,3,3,0,0,0,3,0
CG34041,3,3,0,0,0,3,0
Ekar,3,3,0,0,0,3,0
vnd,2,2,0,0,0,2,0
spdi,7,7,0,0,0,7,0
CG14634,1,1,0,0,0,1,0
CG42259,2,2,0,0,0,2,0
sgg,19,19,0,0,0,19,0
ppk8,2,2,0,0,0,2,0
rg,7,7,0,0,0,7,0
CG12541,2,2,0,0,0,2,0
rdgA,11,11,0,0,0,11,0
LPCAT,1,1,0,0,0,1,0
RhoU,3,3,0,0,0,3,0
Imp,12,12,0,0,0,12,0
Myo10A,4,4,0,0,0,4,0
CG15734,2,2,0,0,0,2,0
eag,7,7,0,0,0,7,0
Lsd-2,5,5,0,0,0,5,0
shi,15,15,0,0,0,15,0
para,60,60,0,0,0,60,0
RhoGAP15B,2,2,0,0,0,2,0
baz,4,4,0,0,0,4,0
f,9,9,0,0,0,9,0
RunxA,3,3,0,0,0,3,0
ldd,4,4,0,0,0,4,0
CG42346,2,2,0,0,0,2,0
Cnep1r1,1,1,0,0,0,1,0
CG40486,2,2,0,0,0,2,0
CG40485,3,3,0,0,0,3,0
stnA,4,4,0,0,0,4,0
stnB,4,4,0,0,0,4,0
FucTC,1,1,0,0,0,1,0
Rab21,3,3,0,0,0,3,0
Coa7,3,3,0,0,0,3,0
Wdr62,8,8,0,0,0,8,0
toc,10,10,0,0,0,10,0
Acp24A4,2,2,0,0,0,2,0
BG642163,2,2,0,0,0,2,0
jet,2,2,0,0,0,2,0
CG34124,1,1,0,0,0,1,0
CG34125,1,1,0,0,0,1,0
CG34126,5,5,0,0,0,5,0
CG14042,3,3,0,0,0,3,0
Pgant5,2,2,0,0,0,2,0
CG14034,2,2,0,0,0,2,0
homer,6,6,0,0,0,6,0
Mnn1,3,3,0,0,0,3,0
CG13784,5,5,0,0,0,5,0
CG34132,1,1,0,0,0,1,0
Spn28Da,1,1,0,0,0,1,0
Piezo,11,11,0,0,0,11,0
CG34134,1,1,0,0,0,1,0
CG32982,7,7,0,0,0,7,0
CG5850,7,7,0,0,0,7,0
CG34109,1,1,0,0,0,1,0
ATPsynG,3,3,0,0,0,3,0
Mt2,2,2,0,0,0,2,0
bru2,11,11,0,0,0,11,0
bun,10,10,0,0,0,10,0
Eato,2,2,0,0,0,2,0
CG16863,2,2,0,0,0,2,0
mol,5,5,0,0,0,5,0
CG34106,2,2,0,0,0,2,0
CLIP-190,15,15,0,0,0,15,0
CadN2,2,2,0,0,0,2,0
btv,1,1,0,0,0,1,0
CG34136,1,1,0,0,0,1,0
CG43345,2,2,0,0,0,2,0
clumsy,2,2,0,0,0,2,0
nolo,7,7,0,0,0,7,0
step,4,4,0,0,0,4,0
Grl40a,2,2,0,0,0,2,0
dunk,2,2,0,0,0,2,0
RpL5,4,4,0,0,0,4,0
CG17490,2,2,0,0,0,2,0
CG17493,3,3,0,0,0,3,0
Slmap,2,2,0,0,0,2,0
CG40006,1,1,0,0,0,1,0
CG40439,2,2,0,0,0,2,0
