>XM_001481341.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_8G00342), partial mRNA
>XM_001481370.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_7G01118), partial mRNA
>XM_001481371.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_7G01620), partial mRNA
>XM_001481372.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_7G01695), partial mRNA
>XM_001481373.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_7G02285), partial mRNA
>XM_001481374.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_7G04230), partial mRNA
>XM_001481375.1 Aspergillus fumigatus Af293 pre-mRNA splicing factor, putative (AFUA_7G04783), partial mRNA
>XM_001481376.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_7G04795), partial mRNA
>XM_001481377.1 Aspergillus fumigatus Af293 glyoxalase family protein (AFUA_7G05010), partial mRNA
>XM_001481378.1 Aspergillus fumigatus Af293 glyoxalase family protein (AFUA_7G05015), partial mRNA
>XM_001481379.1 Aspergillus fumigatus Af293 v-SNARE protein Bos1, putative (AFUA_7G05735), partial mRNA
>XM_001481380.1 Aspergillus fumigatus Af293 AAA family ATPase, putative (AFUA_7G05752), partial mRNA
>XM_001481381.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_7G05785), partial mRNA
>XM_001481382.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_7G06523), partial mRNA
>XM_001481383.1 Aspergillus fumigatus Af293 C6 transcription factor, putative (AFUA_7G06526), partial mRNA
>XM_001481384.1 Aspergillus fumigatus Af293 COG3602 family protein (AFUA_7G06675), partial mRNA
>XM_001481385.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_7G06981), partial mRNA
>XM_001481386.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_7G08570), partial mRNA
>XM_001481387.1 Aspergillus fumigatus Af293 Hsp70 family chaperone, putative (AFUA_7G08575), partial mRNA
>XM_001481388.1 Aspergillus fumigatus Af293 amino acid permease, putative (AFUA_6G00412), partial mRNA
>XM_001481389.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G00555), partial mRNA
>XM_001481390.1 Aspergillus fumigatus Af293 secreted peptide, putative (AFUA_6G00590), partial mRNA
>XM_001481391.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G02215), partial mRNA
>XM_001481392.1 Aspergillus fumigatus Af293 serine/threonine-protein kinase, putative (AFUA_6G02242), partial mRNA
>XM_001481393.1 Aspergillus fumigatus Af293 C6 transcription factor, putative (AFUA_6G02330), partial mRNA
>XM_001481394.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G02515), partial mRNA
>XM_001481395.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G02535), partial mRNA
>XM_001481396.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G02705), partial mRNA
>XM_001481397.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G03025), partial mRNA
>XM_001481398.1 Aspergillus fumigatus Af293 phenol monooxygenase, putative (AFUA_6G03030), partial mRNA
>XM_001481399.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G03345), partial mRNA
>XM_001481400.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G04265), partial mRNA
>XM_001481401.1 Aspergillus fumigatus Af293 MFS sugar transporter, putative (AFUA_6G04270), partial mRNA
>XM_001481402.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G04705), partial mRNA
>XM_001481403.1 Aspergillus fumigatus Af293 TOM complex component Tom7, putative (AFUA_6G05174), partial mRNA
>XM_001481404.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G06328), partial mRNA
>XM_001481405.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_6G06530), partial mRNA
>XM_001481406.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G06535), partial mRNA
>XM_001481407.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G07055), partial mRNA
>XM_001481408.1 Aspergillus fumigatus Af293 conserved threonine rich protein (AFUA_6G07855), partial mRNA
>XM_001481409.1 Aspergillus fumigatus Af293 pyroglutamyl peptidase type I, putative (AFUA_6G08155), partial mRNA
>XM_001481410.1 Aspergillus fumigatus Af293 MOSC domain protein (AFUA_6G08160), partial mRNA
>XM_001481411.1 Aspergillus fumigatus Af293 autophagy protein Apg12, putative (AFUA_6G09165), partial mRNA
>XM_001481412.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G09292), partial mRNA
>XM_001481413.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G09305), partial mRNA
>XM_001481414.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_6G09315), partial mRNA
>XM_001481415.1 Aspergillus fumigatus Af293 LysM domain protein, putative (AFUA_6G09320), partial mRNA
>XM_001481416.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G09395), partial mRNA
>XM_001481417.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G09785), partial mRNA
>XM_001481418.1 Aspergillus fumigatus Af293 LysM domain protein, putative (AFUA_6G09790), partial mRNA
>XM_001481419.1 Aspergillus fumigatus Af293 apoptosis-inducing TAF9-like domain 1 family protein, putative (AFUA_6G10965), partial mRNA
>XM_001481420.1 Aspergillus fumigatus Af293 sodium bile acid symporter family protein (AFUA_6G11840), partial mRNA
>XM_001481421.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_6G12145), partial mRNA
>XM_001481422.1 Aspergillus fumigatus Af293 stress response transcription factor SrrA/Skn7, putative (AFUA_6G12522), partial mRNA
>XM_001481423.1 Aspergillus fumigatus Af293 mismatch-specific thymine-DNA glycosylase, putative (AFUA_6G13340), partial mRNA
>XM_001481424.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_6G13346), partial mRNA
>XM_001481425.1 Aspergillus fumigatus Af293 PHD finger protein (AFUA_6G13765), partial mRNA
>XM_001481426.1 Aspergillus fumigatus Af293 cytochrome P450 monooxygenase, putative (AFUA_6G13940), partial mRNA
>XM_001481427.1 Aspergillus fumigatus Af293 cytochrome P450 monooxygenase, putative (AFUA_6G13945), partial mRNA
>XM_001481428.1 Aspergillus fumigatus Af293 MFS monosaccharide transporter, putative (AFUA_6G14442), partial mRNA
>XM_001481429.1 Aspergillus fumigatus Af293 C6 finger domain protein (AFUA_5G00135), partial mRNA
>XM_001481430.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G00155), partial mRNA
>XM_001481431.1 Aspergillus fumigatus Af293 NRPS-like enzyme, putative (AFUA_5G00352), partial mRNA
>XM_001481432.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_5G00890), partial mRNA
>XM_001481433.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G01005), partial mRNA
>XM_001481434.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G01242), partial mRNA
>XM_001481435.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G01245), partial mRNA
>XM_001481436.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G01248), partial mRNA
>XM_001481437.1 Aspergillus fumigatus Af293 C6 transcription factor, putative (AFUA_5G01272), partial mRNA
>XM_001481438.1 Aspergillus fumigatus Af293 class V chitinase, putative (AFUA_5G01400), partial mRNA
>XM_001481439.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_5G02650), partial mRNA
>XM_001481440.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G02655), partial mRNA
>XM_001481441.1 Aspergillus fumigatus Af293 C6 transcription factor, putative (AFUA_5G02690), partial mRNA
>XM_001481442.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G02785), partial mRNA
>XM_001481443.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G03269), partial mRNA
>XM_001481444.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G03485), partial mRNA
>XM_001481445.1 Aspergillus fumigatus Af293 cAMP receptor-like protein, putative (AFUA_5G04135), partial mRNA
>XM_001481446.1 Aspergillus fumigatus Af293 MIND kinetochore complex component Nnf1, putative (AFUA_5G04140), partial mRNA
>XM_001481447.1 Aspergillus fumigatus Af293 TFIIH/NER complex subunit SSL1 (AFUA_5G04333), partial mRNA
>XM_001481448.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G04336), partial mRNA
>XM_001481449.1 Aspergillus fumigatus Af293 DUF167 domain protein (AFUA_5G06647), partial mRNA
>XM_001481450.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G06905), partial mRNA
>XM_001481451.1 Aspergillus fumigatus Af293 nucleoside-diphosphate-sugar epimerase, putative (AFUA_5G07170), partial mRNA
>XM_001481452.1 Aspergillus fumigatus Af293 THO complex component (Rlr1), putative (AFUA_5G07180), partial mRNA
>XM_001481453.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G07265), partial mRNA
>XM_001481454.1 Aspergillus fumigatus Af293 DNA-directed RNA polymerase III subunit C31 (AFUA_5G07270), partial mRNA
>XM_001481455.1 Aspergillus fumigatus Af293 NUDIX family hydrolase, putative (AFUA_5G08235), partial mRNA
>XM_001481456.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G08712), partial mRNA
>XM_001481457.1 Aspergillus fumigatus Af293 cytochrome c oxidase assembly protein (Pet191), putative (AFUA_5G08965), partial mRNA
>XM_001481458.1 Aspergillus fumigatus Af293 PTH11-like integral membrane protein (AFUA_5G11245), partial mRNA
>XM_001481459.1 Aspergillus fumigatus Af293 polyglutamate biosynthesis protein, putative (AFUA_5G11250), partial mRNA
>XM_001481460.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G11355), partial mRNA
>XM_001481461.1 Aspergillus fumigatus Af293 eukaryotic translation initation factor eIF1a-like protein, putative (AFUA_5G11985), partial mRNA
>XM_001481462.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G12035), partial mRNA
>XM_001481463.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G12302), partial mRNA
>XM_001481464.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G12325), partial mRNA
>XM_001481465.1 Aspergillus fumigatus Af293 ssDNA binding protein Ssb3, putative (AFUA_5G12895), partial mRNA
>XM_001481466.1 Aspergillus fumigatus Af293 mitofusin (AFUA_5G13392), partial mRNA
>XM_001481467.1 Aspergillus fumigatus Af293 integral membrane protein PTH11-like, putative (AFUA_5G13715), partial mRNA
>XM_001481468.1 Aspergillus fumigatus Af293 endo-1,3(4)-beta-glucanase, putative (AFUA_5G13990), partial mRNA
>XM_001481469.1 Aspergillus fumigatus Af293 glycoside hydrolase, putative (AFUA_5G13995), partial mRNA
>XM_001481470.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G14315), partial mRNA
>XM_001481471.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G14320), partial mRNA
>XM_001481472.1 Aspergillus fumigatus Af293 Pfs, NACHT and Ankyrin domain protein (AFUA_5G14582), partial mRNA
>XM_001481473.1 Aspergillus fumigatus Af293 RING-finger domain protein, putative (AFUA_5G14845), partial mRNA
>XM_001481474.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_5G14865), partial mRNA
>XM_001481475.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_4G00195), partial mRNA
>XM_001481476.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_4G00225), partial mRNA
>XM_001481477.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_4G00235), partial mRNA
>XM_001481478.1 Aspergillus fumigatus Af293 oxidoreductase, short chain dehydrogenase/reductase family, putative (AFUA_4G00940), partial mRNA
>XM_001481479.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_4G01115), partial mRNA
>XM_001481480.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_4G01120), partial mRNA
>XM_001481481.1 Aspergillus fumigatus Af293 C6 transcription factor, putative (AFUA_4G01392), partial mRNA
>XM_001481482.1 Aspergillus fumigatus Af293 Asp hemolysin-like protein (AFUA_4G02805), partial mRNA
>XM_001481483.1 Aspergillus fumigatus Af293 WW domain protein (AFUA_4G03322), partial mRNA
>XM_001481484.1 Aspergillus fumigatus Af293 membrane bound cation transporter, putative (AFUA_4G03320), partial mRNA
>XM_001481485.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_4G03325), partial mRNA
>XM_001481486.1 Aspergillus fumigatus Af293 formate/nitrite transporter family protein, putative (AFUA_4G03435), partial mRNA
>XM_001481487.1 Aspergillus fumigatus Af293 phosphoglycerate mutase (AFUA_4G03580), partial mRNA
>XM_001481488.1 Aspergillus fumigatus Af293 alpha-galactosidase, putative (AFUA_4G03585), partial mRNA
>XM_001481489.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_4G03595), partial mRNA
>XM_001481490.1 Aspergillus fumigatus Af293 acetyltransferase, GNAT family family (AFUA_4G03600), partial mRNA
>XM_001481491.1 Aspergillus fumigatus Af293 conidiation protein Con-6, putative (AFUA_4G03615), partial mRNA
>XM_001481492.1 Aspergillus fumigatus Af293 mitochondrial complex I protein Fmp36, putative (AFUA_4G03645), partial mRNA
>XM_001481493.1 Aspergillus fumigatus Af293 glutamine synthetase, putative (AFUA_4G03710), partial mRNA
>XM_001481494.1 Aspergillus fumigatus Af293 D-serine ammonia-lyase DSD1 (AFUA_4G03722), partial mRNA
>XM_001481495.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_4G03945), partial mRNA
>XM_001481496.1 Aspergillus fumigatus Af293 cystathionine beta-lyase STR3 (AFUA_4G03950), partial mRNA
>XM_001481497.1 Aspergillus fumigatus Af293 copper resistance protein Crd2, putative (AFUA_4G04318), partial mRNA
>XM_001481498.1 Aspergillus fumigatus Af293 PaaI_thioesterase family protein, putative (AFUA_4G04355), partial mRNA
>XM_001481499.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_4G04465), partial mRNA
>XM_001481500.1 Aspergillus fumigatus Af293 flocculation suppression protein (AFUA_4G04502), partial mRNA
>XM_001481501.1 Aspergillus fumigatus Af293 holocytochrome c synthase CYC3 (AFUA_4G04600), partial mRNA
>XM_001481502.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_4G04605), partial mRNA
>XM_001481503.1 Aspergillus fumigatus Af293 ubiquitin-conjugating enzyme Ubc6, putative (AFUA_4G04612), partial mRNA
>XM_001481504.1 Aspergillus fumigatus Af293 replication fork protection component Swi3, putative (AFUA_4G04745), partial mRNA
>XM_001481505.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_4G05855), partial mRNA
>XM_001481506.1 Aspergillus fumigatus Af293 NADH-ubiquinone oxidoreductase 21 kDa subunit, putative (AFUA_4G05910), partial mRNA
>XM_001481507.1 Aspergillus fumigatus Af293 thioredoxin peroxidase DOT5 (AFUA_4G05915), partial mRNA
>XM_001481508.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_4G05985), partial mRNA
>XM_001481509.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_4G06085), partial mRNA
>XM_001481510.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_4G07467), partial mRNA
>XM_001481511.1 Aspergillus fumigatus Af293 mitochondrial 54S ribosomal protein bL34m (AFUA_4G07605), partial mRNA
>XM_001481512.1 Aspergillus fumigatus Af293 nuclear transport factor 2 domain protein, putative (AFUA_4G07835), partial mRNA
>XM_001481513.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_4G08634), partial mRNA
>XM_001481514.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_4G08640), partial mRNA
>XM_001481515.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_4G09250), partial mRNA
>XM_001481516.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_4G09255), partial mRNA
>XM_001481517.1 Aspergillus fumigatus Af293 Sit4-associated protein (Sap185), putative (AFUA_4G11012), partial mRNA
>XM_001481518.1 Aspergillus fumigatus Af293 thermatolerance membrane protein Dlt1, putative (AFUA_4G11467), partial mRNA
>XM_001481519.1 Aspergillus fumigatus Af293 sucrase/ferredoxin-like family protein, putative (AFUA_4G11477), partial mRNA
>XM_001481520.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_4G11602), partial mRNA
>XM_001481521.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_4G13760), partial mRNA
>XM_001481522.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_4G13765), partial mRNA
>XM_001481523.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_4G13872), partial mRNA
>XM_001481524.1 Aspergillus fumigatus Af293 spherulin 4-like cell surface protein, putative (AFUA_4G14080), partial mRNA
>XM_001481525.1 Aspergillus fumigatus Af293 cell surface protein, putative (AFUA_4G14085), partial mRNA
>XM_001481526.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_4G14175), partial mRNA
>XM_001481527.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_4G14180), partial mRNA
>XM_001481528.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_4G14205), partial mRNA
>XM_001481529.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_4G14705), partial mRNA
>XM_001481530.1 Aspergillus fumigatus Af293 serine/threonine protein kinase, putative (AFUA_4G14735), partial mRNA
>XM_001481531.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_3G00175), partial mRNA
>XM_001481532.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G00410), partial mRNA
>XM_001481533.1 Aspergillus fumigatus Af293 N-acetyltransferase, GNAT family, putative (AFUA_3G00765), partial mRNA
>XM_001481534.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G00865), partial mRNA
>XM_001481535.1 Aspergillus fumigatus Af293 GNAT family N-acetyltransferase, putative (AFUA_3G00870), partial mRNA
>XM_001481536.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G01196), partial mRNA
>XM_001481537.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G01860), partial mRNA
>XM_001481538.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G01872), partial mRNA
>XM_001481539.1 Aspergillus fumigatus Af293 YjgH family protein (AFUA_3G02253), partial mRNA
>XM_001481540.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G02257), partial mRNA
>XM_001481541.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G02260), partial mRNA
>XM_001481542.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G02685), partial mRNA
>XM_001481543.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G02785), partial mRNA
>XM_001481544.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G03295), partial mRNA
>XM_001481545.1 Aspergillus fumigatus Af293 FAD-binding oxidoreductase, putative (AFUA_3G03300), partial mRNA
>XM_001481546.1 Aspergillus fumigatus Af293 short-chain alcohol dehydrogenase, putative (AFUA_3G03445), partial mRNA
>XM_001481547.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G03790), partial mRNA
>XM_001481548.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_3G03815), partial mRNA
>XM_001481549.1 Aspergillus fumigatus Af293 C2H2 type zinc finger domain protein (AFUA_3G03852), partial mRNA
>XM_001481550.1 Aspergillus fumigatus Af293 TBP interacting domain protein, putative (AFUA_3G05575), partial mRNA
>XM_001481551.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G06255), partial mRNA
>XM_001481552.1 Aspergillus fumigatus Af293 dsDNA-binding protein PDCD5, putative (AFUA_3G06420), partial mRNA
>XM_001481553.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G06425), partial mRNA
>XM_001481554.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G06495), partial mRNA
>XM_001481555.1 Aspergillus fumigatus Af293 deoxyribose-phosphate aldolase, putative (AFUA_3G06590), partial mRNA
>XM_001481556.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G06597), partial mRNA
>XM_001481557.1 Aspergillus fumigatus Af293 DEAD/DEAH box helicase, putative (AFUA_3G06922), partial mRNA
>XM_001481558.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G07155), partial mRNA
>XM_001481559.1 Aspergillus fumigatus Af293 class V chitinase, putative (AFUA_3G07160), partial mRNA
>XM_001481560.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G07625), partial mRNA
>XM_001481561.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G07945), partial mRNA
>XM_001481562.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G07965), partial mRNA
>XM_001481563.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G07970), partial mRNA
>XM_001481564.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G08265), partial mRNA
>XM_001481565.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_3G08920), partial mRNA
>XM_001481566.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G09930), partial mRNA
>XM_001481567.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G09935), partial mRNA
>XM_001481568.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G10065), partial mRNA
>XM_001481569.1 Aspergillus fumigatus Af293 cyclin, putative (AFUA_3G10070), partial mRNA
>XM_001481570.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_3G10085), partial mRNA
>XM_001481571.1 Aspergillus fumigatus Af293 UPF0132 domain protein (AFUA_3G10255), partial mRNA
>XM_001481572.1 Aspergillus fumigatus Af293 DASH complex subunit Duo1, putative (AFUA_3G10260), partial mRNA
>XM_001481573.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G11355), partial mRNA
>XM_001481574.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G12255), partial mRNA
>XM_001481575.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G12260), partial mRNA
>XM_001481576.1 Aspergillus fumigatus Af293 extracellular serine rich protein (AFUA_3G12982), partial mRNA
>XM_001481577.1 Aspergillus fumigatus Af293 conserved proline-rich protein (AFUA_3G12990), partial mRNA
>XM_001481578.1 Aspergillus fumigatus Af293 F-box domain protein (AFUA_3G13460), partial mRNA
>XM_001481579.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G13465), partial mRNA
>XM_001481580.1 Aspergillus fumigatus Af293 potassium ion channel Yvc1, putative (AFUA_3G13490), partial mRNA
>XM_001481581.1 Aspergillus fumigatus Af293 thioesterase domain protein (AFUA_3G13496), partial mRNA
>XM_001481582.1 Aspergillus fumigatus Af293 Mis12-Mtw1 family protein (AFUA_3G13950), partial mRNA
>XM_001481583.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G14070), partial mRNA
>XM_001481584.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G14160), partial mRNA
>XM_001481585.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_3G14165), partial mRNA
>XM_001481586.1 Aspergillus fumigatus Af293 bromodomain associated domain protein (AFUA_3G14445), partial mRNA
>XM_001481587.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G15055), partial mRNA
>XM_001481588.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_2G00270), partial mRNA
>XM_001481589.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_2G00656), partial mRNA
>XM_001481590.1 Aspergillus fumigatus Af293 sensor histidine kinase/response regulator TcsB/Sln1, putative (AFUA_2G00660), partial mRNA
>XM_001481591.1 Aspergillus fumigatus Af293 NACHT domain protein (AFUA_2G00960), partial mRNA
>XM_001481592.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_2G00963), partial mRNA
>XM_001481593.1 Aspergillus fumigatus Af293 Cupin domain protein (AFUA_2G00967), partial mRNA
>XM_001481594.1 Aspergillus fumigatus Af293 cyanovirin-N family protein (AFUA_2G01405), partial mRNA
