,accession,gene
163,>NM_001000082.1,Or6n2
165,>NM_001000083.1,Or6n1
167,>NM_001000084.1,Or6k6
169,>NM_001000085.1,Or6k4
171,>NM_001000086.1,Or10x1
173,>NM_001000087.1,Or6p1
175,>NM_001000088.1,Or2t35
177,>NM_001000089.1,Or4n5
179,>NM_001000090.1,Or4k15c
181,>NM_001000091.1,Or4k15
183,>NM_001000092.1,Or4k5
185,>NM_001000093.1,Or4k2
187,>NM_001000094.1,Olr1610
189,>NM_001000096.1,Or4m1
191,>NM_001000097.1,Or11g2
193,>NM_001000099.1,Or10g3
195,>NM_001000100.1,Or10g1b
197,>NM_001000101.1,Or4e1
199,>NM_001000102.2,Or4e5
201,>NM_001000103.1,Or6e1
203,>NM_001000104.1,Or14p1
205,>NM_001000105.1,Or2w2
207,>NM_001000106.1,Or2ad1
209,>NM_001000107.2,Or2w1
211,>NM_001000108.1,Or7c19
213,>NM_001000109.1,Olr387
215,>NM_001000110.1,Or10am5
217,>NM_001000111.1,Or6z1
219,>NM_001000112.1,Olr5
221,>NM_001000113.1,Or6z3
223,>NM_001000114.1,Or5ae1
225,>NM_001000116.1,Or6f1
227,>NM_001000117.1,Or6aa1b
229,>NM_001000118.1,Or14n1
231,>NM_001000119.1,Or14c43
233,>NM_001000120.1,Or14c39b
235,>NM_001000121.1,Olr35
237,>NM_001000122.1,Or52m1
239,>NM_001000123.1,Or52m2
241,>NM_001000124.1,Or52k2
243,>NM_001000125.1,Or52p2
245,>NM_001000126.1,Or52b4
247,>NM_001000127.1,Or55b10
249,>NM_001000128.1,Or55b4
251,>NM_001000129.1,Or51a39
253,>NM_001000130.1,Or51f23c
255,>NM_001000131.1,Or52r1
257,>NM_001000132.1,Or51s1
259,>NM_001000133.1,Or51a7b
261,>NM_001000134.1,Or52r1c
263,>NM_001000135.1,Or51l1
265,>NM_001000136.1,Or52j3
267,>NM_001000137.1,Or52s1
269,>NM_001000138.1,Or52e3
271,>NM_001000139.1,Or52ab4
273,>NM_001000140.1,Or52ad1
275,>NM_001000141.1,Or52s19
277,>NM_001000143.1,Or52ae7b
279,>NM_001000144.1,Or52ae7
281,>NM_001000145.1,Or51af1
283,>NM_001000146.1,Or51ag1
285,>NM_001000147.1,Or51aa2
287,>NM_001000148.1,Or51ab3
289,>NM_001000149.1,Or51ah3
291,>NM_001000150.1,Or52z14
293,>NM_001000151.1,Or51v14
295,>NM_001000152.1,Or52ae8
297,>NM_001000153.1,Or51b6b
299,>NM_001000154.1,Or51v8
301,>NM_001000155.1,Or52ae8b
303,>NM_001000156.1,Or52a20
305,>NM_001000157.1,Or52ae9
307,>NM_001000158.1,Or52a5b
309,>NM_001000159.1,Or52z1
311,>NM_001000160.1,Or51k7
313,>NM_001000161.1,Or51q1
315,>NM_001000162.1,Or51q1e
317,>NM_001000163.1,Or51i2
319,>NM_001000164.1,Or51a10
321,>NM_001000165.1,Or52d1
323,>NM_001000166.1,Or52h1
325,>NM_001000167.1,Or52h7
327,>NM_001000168.1,Or52u1
329,>NM_001000169.1,Or52p1
331,>NM_001000170.1,Or52n4
333,>NM_001000171.1,Or52n4c
335,>NM_001000172.1,Or52n4e
337,>NM_001000173.1,Or56b2k
339,>NM_001000174.1,Or52n4d
341,>NM_001000175.1,Or52n1
343,>NM_001000176.1,Or52n3
345,>NM_001000177.1,Or52n2
347,>NM_001000178.1,Or52n2e
349,>NM_001000179.1,Or52e18
351,>NM_001000180.1,Or52e8
353,>NM_001000181.1,Or52e15c
355,>NM_001000182.1,Or52e8b
357,>NM_001000183.1,Or52e7
359,>NM_001000184.1,Or52e5b
361,>NM_001000185.1,Or56a3b
363,>NM_001000186.3,Olr193
365,>NM_001000187.1,Or52l1
367,>NM_001000188.1,Or52x1
369,>NM_001000189.1,Or56b6b
371,>NM_001000190.1,Or52b1
373,>NM_001000191.1,Or2ag13
375,>NM_001000192.1,Or2ag16
377,>NM_001000193.1,Or2ag16b
379,>NM_001000194.1,Or2ag18
381,>NM_001000195.1,Or2ag2b
383,>NM_001000196.1,Or13n4
385,>NM_001000197.1,Or2ag19
387,>NM_001000198.1,Or2ag20
389,>NM_001000199.1,Or2ag1
391,>NM_001000200.1,Or2d3c
393,>NM_001000201.1,Or2d4
395,>NM_001000202.1,Or6b9
397,>NM_001000203.1,Or10a5
399,>NM_001000204.1,Or2d36b
401,>NM_001000205.1,Or10a2
403,>NM_001000206.1,Or10a4
405,>NM_001000207.1,Or2d2
407,>NM_001000208.1,Or2d36
409,>NM_001000209.1,Or5p5b
411,>NM_001000210.1,Or5p50
413,>NM_001000211.1,Or5p5
415,>NM_001000213.1,Or5p56
417,>NM_001000214.1,Or5p6
419,>NM_001000215.1,Or10ab4
421,>NM_001000216.1,Or5p4
423,>NM_001000217.1,Or5p6b
425,>NM_001000218.1,Or5p66b
427,>NM_001000219.1,Or5p60c
429,>NM_001000220.1,Or5p72
431,>NM_001000221.1,Or5p68
433,>NM_001000222.1,Or5p66
435,>NM_001000223.1,Or10a48
437,>NM_001000224.1,Or10a3
439,>NM_001000225.1,Or10a3c
441,>NM_001000226.1,Or5p76
443,>NM_001000227.1,Or5p81
445,>NM_001000228.1,Or5p69b
447,>NM_001000229.1,Or5p69
449,>NM_001000230.1,Or5p79
451,>NM_001000231.1,Or6b13
453,>NM_001000232.1,Or12j2
455,>NM_001000233.1,Or13a27
457,>NM_001000234.1,Or12j3
459,>NM_001000235.1,Or12j2b
461,>NM_001000236.1,Or13a19c
463,>NM_001000237.1,Or12j4
465,>NM_001000238.1,Or13a27b
467,>NM_001000239.1,Or12j5
469,>NM_001000240.1,Or13a18
471,>NM_001000241.1,Or13a18b
473,>NM_001000242.1,Or13a27e
475,>NM_001000243.1,Or13a26
477,>NM_001000244.1,Or4d11
479,>NM_001000245.1,Or4d10c
481,>NM_001000246.1,Or4z4
483,>NM_001000247.1,Or4d6
485,>NM_001000248.1,Or5a1
487,>NM_001000249.1,Or5bb12
489,>NM_001000250.1,Or5a21
491,>NM_001000251.1,Or5an9
493,>NM_001000252.1,Or5b95
495,>NM_001000253.1,Or5b12b
497,>NM_001000254.1,Or5b12
499,>NM_001000255.1,Or5b99
501,>NM_001000256.1,Or5b105
503,>NM_001000257.1,Or5b123b
505,>NM_001000258.1,Or5b124
507,>NM_001000259.1,Or10q12
509,>NM_001000260.1,Or1s2
511,>NM_001000261.1,Or9q1
513,>NM_001000262.1,Or9i2
515,>NM_001000263.1,Or9i1b
517,>NM_001000264.1,Or7r1
519,>NM_001000266.1,Or2j3
521,>NM_001000267.1,Or2n1e
523,>NM_001000268.1,Or2n1g
525,>NM_001000269.1,Or2n1
527,>NM_001000270.1,Or2h15
529,>NM_001000271.1,Or14j3b
531,>NM_001000272.1,Or2g1
533,>NM_001000273.1,Or14j5b
535,>NM_001000274.1,Or14j5
537,>NM_001000275.1,Or14j5e
539,>NM_001000276.1,Or14j3d
541,>NM_001000277.1,Or1o11c
543,>NM_001000279.1,Or5v1b
545,>NM_001000281.1,Or5ak22
547,>NM_001000282.1,Olr440
549,>NM_001000283.1,Or5ak24
551,>NM_001000284.1,Or5ak25
553,>NM_001000285.1,Or5g27
555,>NM_001000286.1,Or5g24
557,>NM_001000287.1,Or5g25
559,>NM_001000288.1,Or9g4
561,>NM_001000289.1,Or5g9
563,>NM_001000290.1,Or9g10
565,>NM_001000291.1,Or9g3
567,>NM_001000292.1,Or9g4b
569,>NM_001000293.1,Or9g20
571,>NM_001000294.1,Or2ah1
573,>NM_001000295.1,Or5ar1
575,>NM_001000296.1,Or5ap2b
577,>NM_001000297.1,Or5m10b
579,>NM_001000298.1,Or5m10
581,>NM_001000299.1,Or5m13b
583,>NM_001000300.1,Or5m11
585,>NM_001000301.1,Or5m8
587,>NM_001000302.1,Or5m3
589,>NM_001000303.1,Or8u10
591,>NM_001000304.1,Or8u3
593,>NM_001000305.1,Or5al5b
595,>NM_001000306.1,Or8j3
597,>NM_001000307.1,Or8k1
599,>NM_001000308.1,Or8k20
601,>NM_001000309.1,Or8k23
603,>NM_001000310.1,Or8j3b
605,>NM_001000311.1,Or8k30b
607,>NM_001000312.1,Or5t7
609,>NM_001000313.1,Or8k39
611,>NM_001000314.1,Or8k40
613,>NM_001000315.1,Or5t5
615,>NM_001000316.1,Or5t18
617,>NM_001000317.1,Or5t9
619,>NM_001000318.1,Or5t5b
621,>NM_001000319.1,Or8h7
623,>NM_001000320.1,Or5j1
625,>NM_001000321.1,Or5aq1
627,>NM_001000322.1,Or5aq1b
629,>NM_001000323.1,Or12e1
631,>NM_001000324.1,Or12e8
633,>NM_001000325.1,Or10ag57
635,>NM_001000326.1,Or8w1b
637,>NM_001000327.1,Or5w11
639,>NM_001000328.1,Or8w1
641,>NM_001000329.1,Or5i1
643,>NM_001000330.1,Or12e10
645,>NM_001000331.1,Or5w19
647,>NM_001000332.1,Or5w20
649,>NM_001000333.1,Or5l14b
651,>NM_001000334.1,Or5d14
653,>NM_001000335.1,Or5d20
655,>NM_001000336.1,Or5d41
657,>NM_001000337.1,Or5d40
659,>NM_001000338.1,Or4p7
661,>NM_001000339.1,Or4p20b
663,>NM_001000340.1,Or4p22
665,>NM_001000341.1,Or4c103
667,>NM_001000342.1,Olr655
669,>NM_001000343.1,Or4c104
671,>NM_001000344.2,Or4a66b
673,>NM_001000345.1,Or4c105
675,>NM_001000346.1,Or4c15
677,>NM_001000347.1,Or4c107
679,>NM_001000348.1,Or4c108b
681,>NM_001000349.1,Or4c109
683,>NM_001000350.1,Or4c112
685,>NM_001000351.1,Olr673
687,>NM_001000352.1,Or4c114
689,>NM_001000353.1,Or4c116
691,>NM_001000354.1,Or4c117
693,>NM_001000355.1,Or4c120
695,>NM_001000356.1,Or4c121
697,>NM_001000357.2,Or4c1
699,>NM_001000359.1,Olr703
701,>NM_001000360.1,Or4a77c
703,>NM_001000361.1,Olr718
705,>NM_001000362.1,Or4c58
707,>NM_001000363.1,Or4c52
709,>NM_001000364.1,Or4c3e
711,>NM_001000365.1,Or4f53
713,>NM_001000366.1,Or4k35
715,>NM_001000367.1,Or4g16
717,>NM_001000368.1,Or4k37
719,>NM_001000369.1,Or4g7
721,>NM_001000371.1,Or4k48
723,>NM_001000372.1,Or4k49
725,>NM_001000373.1,Or4k52
727,>NM_001000374.1,Or4k48b
729,>NM_001000375.1,Or4f57
731,>NM_001000376.1,Or4f6
733,>NM_001000377.2,Or4f61b
735,>NM_001000378.1,Or4f47
737,>NM_001000379.1,Or1j15b
739,>NM_001000380.1,Or1j16b
741,>NM_001000381.1,Or1j15
743,>NM_001000382.1,Or1j16
745,>NM_001000383.1,Or1j12b
747,>NM_001000384.1,Or1j13c
749,>NM_001000385.1,Or1j1
751,>NM_001000386.1,Or1j20
753,>NM_001000387.1,Or1n1b
755,>NM_001000388.1,Or1n2
757,>NM_001000389.1,Or1q1
759,>NM_001000390.1,Or12k7b
761,>NM_001000391.1,Or12k7
763,>NM_001000392.1,Or12k8
765,>NM_001000393.1,Or1b1
767,>NM_001000394.1,Or1l4
769,>NM_001000395.1,Or1af1
771,>NM_001000397.1,Or5c1
773,>NM_001000398.1,Or13d1
775,>NM_001000399.1,Or13c9
777,>NM_001000400.1,Or13c25
779,>NM_001000401.1,Or13c3
781,>NM_001000402.1,Or13c3f
783,>NM_001000403.1,Or13c3c
785,>NM_001000404.1,Or13c3g
787,>NM_001000405.1,Or13f5l1
789,>NM_001000406.1,Or13c7d
791,>NM_001000407.1,Or13j1
793,>NM_001000408.1,Or13e8
795,>NM_001000409.1,Or13p10
797,>NM_001000410.1,Or10ak7b
799,>NM_001000411.1,Or10ak7f
801,>NM_001000412.1,Or10ak13
803,>NM_001000413.1,Or10ak7
805,>NM_001000414.1,Or13c7
807,>NM_001000415.1,Or13c7c
809,>NM_001000416.1,Or10h1d
811,>NM_001000418.1,Or1i2
813,>NM_001000419.1,Or7c70
815,>NM_001000420.1,Or7a38e
817,>NM_001000421.1,Or7a41
819,>NM_001000423.1,Or8s2
821,>NM_001000424.1,Or8s10
823,>NM_001000425.1,Or11m3
825,>NM_001000426.1,Or7g18
827,>NM_001000427.1,Or7g26
829,>NM_001000428.1,Or7g21
831,>NM_001000429.1,Or7g33c
833,>NM_001000431.1,Or7g29
835,>NM_001000432.1,Or7g33
837,>NM_001000433.1,Or7g34b
839,>NM_001000434.1,Or7e169
841,>NM_001000435.1,Or8b12
843,>NM_001000436.1,Olr1198
845,>NM_001000437.1,Or8b35
847,>NM_001000438.1,Olr1214
849,>NM_001000439.1,Or8b101c
851,>NM_001000440.1,Or8c15b
853,>NM_001000441.1,Or8c16
855,>NM_001000442.1,Or8c18
857,>NM_001000443.1,Or8c19
859,>NM_001000444.1,Or8c10b
861,>NM_001000445.1,Or8b44b
863,>NM_001000446.1,Or8c11
865,>NM_001000447.1,Or8b3
867,>NM_001000448.1,Or8b1b
869,>NM_001000449.1,Or8b1c
871,>NM_001000450.1,Or8b1
873,>NM_001000451.1,Or8b44
875,>NM_001000452.1,Or8b46
877,>NM_001000453.1,Or8b50
879,>NM_001000454.1,Or8b1d
881,>NM_001000455.1,Or8b53
883,>NM_001000456.1,Or8b55
885,>NM_001000457.1,Or8b56
887,>NM_001000458.1,Or10d1g
889,>NM_001000459.1,Or8g34
891,>NM_001000460.1,Or8g26
893,>NM_001000461.1,Or8g35b
895,>NM_001000462.1,Or8g35
897,>NM_001000463.1,Or8g20
899,>NM_001000464.1,Or8g36
901,>NM_001000465.1,Or10d3
903,>NM_001000466.1,Or10d4b
905,>NM_001000467.1,Or10d4c
907,>NM_001000468.1,Or10n7
909,>NM_001000469.1,Or10d1b
911,>NM_001000470.1,Or8g52b
913,>NM_001000471.1,Or8g50
915,>NM_001000472.1,Or8g37c
917,>NM_001000473.1,Or8g2c
919,>NM_001000474.1,Or10d5jl
921,>NM_001000475.1,Or8g37b
923,>NM_001000476.1,Olr1330
925,>NM_001000477.1,Or10d5b
927,>NM_001000478.1,Or10g9
929,>NM_001000479.1,Or10g9b
931,>NM_001000480.1,Or10s1
933,>NM_001000481.1,Or4d5
935,>NM_001000482.1,Or6x1
937,>NM_001000483.1,Or6b2b
939,>NM_001000484.1,Or9s27
941,>NM_001000485.1,Olr1096
943,>NM_001000487.1,Or6c6h
945,>NM_001000488.1,Or8b101d
947,>NM_001000489.1,Or5o1
949,>NM_001000490.1,Or11n2
951,>NM_001000491.1,Or5bh3
953,>NM_001000492.1,Or1aa2
955,>NM_001000493.1,Or2c1
957,>NM_001000494.1,Or1f20d
959,>NM_001000495.1,Or1e35b
961,>NM_001000496.1,Or5ac21
963,>NM_001000497.1,OR6c8
965,>NM_001000498.1,Or6c33b
967,>NM_001000499.1,Or10j5
969,>NM_001000500.1,Or6k8
971,>NM_001000501.1,Or6k2
973,>NM_001000502.1,Or2t1
975,>NM_001000503.1,Or6s1
977,>NM_001000504.1,Or2at1
979,>NM_001000505.1,Or10v9b
981,>NM_001000506.1,Or10v1
983,>NM_001000507.1,Or5a3
985,>NM_001000508.1,Or10al7
987,>NM_001000509.1,Or14j3e
989,>NM_001000510.1,Or1o2b
991,>NM_001000511.1,Or10ag2
993,>NM_001000512.1,Or5l13
995,>NM_001000513.1,Or4a15b
997,>NM_001000514.1,Or4c35
999,>NM_001000515.1,Or13p9
1001,>NM_001000516.1,Or1m1
1003,>NM_001000517.1,Or8g20b
1005,>NM_001000518.1,Or8g20e
1007,>NM_001000519.1,Or10d1
1009,>NM_001000520.1,Or9s23b
1011,>NM_001000521.1,Or11g27
1013,>NM_001000522.1,Or9r3c
1015,>NM_001000523.1,Or1f30
1017,>NM_001000524.1,Or2y15
1019,>NM_001000525.2,Olr1433
1021,>NM_001000526.1,Or5af1b
1023,>NM_001000527.2,Olr1481
1025,>NM_001000528.1,Or3a4
1027,>NM_001000529.2,Or1f21c
1029,>NM_001000530.1,Or5ac19
1031,>NM_001000531.1,Or5k3
1033,>NM_001000532.1,Or2l5
1035,>NM_001000533.1,Or10j7
1037,>NM_001000534.1,Or2t6
1039,>NM_001000535.1,Or4e2
1041,>NM_001000536.1,Or2w6
1043,>NM_001000537.1,Or10k2
1045,>NM_001000538.2,Or6al1
1047,>NM_001000539.1,Or6z7
1049,>NM_001000540.1,Or13g1
1051,>NM_001000541.1,Or51r1
1053,>NM_001000542.1,Or51e1
1055,>NM_001000543.1,Or52e19
1057,>NM_001000544.1,Or51i1
1059,>NM_001000545.1,Or51a42
1061,>NM_001000546.1,Or52h9
1063,>NM_001000547.1,Or52d3
1065,>NM_001000548.1,Or56b1
1067,>NM_001000549.1,Or56a5
1069,>NM_001000550.1,Or52b2
1071,>NM_001000551.1,Or2ag2
1073,>NM_001000552.2,Olr220
1075,>NM_001000553.1,Or6b6
1077,>NM_001000554.1,Or6ae1
1079,>NM_001000555.1,Or13a26c
1081,>NM_001000556.1,Or5b107
1083,>NM_001000557.1,Or14j1
1085,>NM_001000558.1,Or13l2
1087,>NM_001000559.1,Or1j13b
1089,>NM_001000560.1,Or1j10
1091,>NM_001000561.1,Or8u9
1093,>NM_001000562.1,Olr522
1095,>NM_001000563.1,Or8h10b
1097,>NM_001000564.1,Or8i2
1099,>NM_001000565.1,Or5aq6
1101,>NM_001000566.1,Or5aq7
1103,>NM_001000567.1,Or5w1
1105,>NM_001000568.1,Or5w12
1107,>NM_001000569.1,Or4c15b
1109,>NM_001000570.1,Or4a70
1111,>NM_001000571.1,Or4a77e
1113,>NM_001000572.2,Or4c10b
1115,>NM_001000573.1,Or4c12
1117,>NM_001000574.1,Or4c3
1119,>NM_001000575.1,Or4b1
1121,>NM_001000576.1,Or4b13b
1123,>NM_001000577.1,Or4b1c
1125,>NM_001000578.1,Or4x13
1127,>NM_001000579.1,Or4f7
1129,>NM_001000580.1,Or4f14d
1131,>NM_001000581.1,Or13c7b
1133,>NM_001000582.1,Or2k2
1135,>NM_001000583.1,Or13p4
1137,>NM_001000584.1,Or13p3
1139,>NM_001000585.2,Or13p5
1141,>NM_001000586.1,Or6c38
1143,>NM_001000587.1,Or6c202e
1145,>NM_001000588.1,Or10u3b
1147,>NM_001000589.1,Or6c213f
1149,>NM_001000590.1,Or6c208b
1151,>NM_001000591.1,Or9k2
1153,>NM_001000592.1,Or7a38b
1155,>NM_001000593.2,Or10h1
1157,>NM_001000594.1,Or7h7b
1159,>NM_001000595.2,Or8c20
1161,>NM_001000596.1,Or8g51
1163,>NM_001000597.1,Or8g30
1165,>NM_001000598.1,Or8g28
1167,>NM_001000599.1,Or8g2
1169,>NM_001000600.1,Or4f60
1171,>NM_001000601.1,Or4f6b
1173,>NM_001000602.1,Or4f14e
1175,>NM_001000603.1,Or4f59
1177,>NM_001000604.1,Or4f58
1179,>NM_001000605.1,Or4f15
1181,>NM_001000606.1,Or4f14f
1183,>NM_001000607.1,Or4f56
1185,>NM_001000608.1,Or4f7c
1187,>NM_001000609.1,Or4k51
1189,>NM_001000610.1,Or4k50
1191,>NM_001000611.1,Or4k45
1193,>NM_001000613.1,Or4g17
1195,>NM_001000614.1,Or4k77
1197,>NM_001000615.1,Or4f53b
1199,>NM_001000616.1,Or4b1d
1201,>NM_001000617.1,Or4x11c
1203,>NM_001000618.1,Or4x11
1205,>NM_001000619.1,Or4c127
1207,>NM_001000621.1,Or4a77d
1209,>NM_001000622.1,Olr716
1211,>NM_001000623.1,Or4a77
1213,>NM_001000624.1,Or4a78
1215,>NM_001000625.1,Or4a77b
1217,>NM_001000626.1,Or4a69
1219,>NM_001000627.1,Or4a2
1221,>NM_001000628.1,Or4c124b
1223,>NM_001000629.1,Or4c123
1225,>NM_001000630.1,Or4p18b
1227,>NM_001000631.1,Or4c117b
1229,>NM_001000632.1,Or4c112b
1231,>NM_001000633.1,Or4c110
1233,>NM_001000634.1,Or4c108
1235,>NM_001000635.1,Or4c11
1237,>NM_001000636.1,Or4a66
1239,>NM_001000637.1,Or4c105b
1241,>NM_001000638.1,Or4a66c
1243,>NM_001000639.1,Or4c103b
1245,>NM_001000640.1,Or4s2
1247,>NM_001000641.1,Or4p4
1249,>NM_001000642.1,Or4c102
1251,>NM_001000643.1,Or4c129
1253,>NM_001000644.1,Or4c31e
1255,>NM_001000645.1,Or4p22e
1257,>NM_001000646.1,Or4c31b
1259,>NM_001000647.1,Or4p22d
1261,>NM_001000648.1,Or4c31
1263,>NM_001000649.1,Or4p20
1265,>NM_001000650.1,Or4c99
1267,>NM_001000651.1,Olr623
1269,>NM_001000652.1,Olr621
1271,>NM_001000654.1,Or5w8b
1273,>NM_001000655.1,Or5d37
1275,>NM_001000656.1,Olr604
1277,>NM_001000657.1,Or12e13b
1279,>NM_001000658.1,Or5w18
1281,>NM_001000659.1,Or5w17
1283,>NM_001000660.1,Or5w16
1285,>NM_001000661.1,Or5w15
1287,>NM_001000662.1,Or5w13b
1289,>NM_001000663.1,Or5w14
1291,>NM_001000664.1,Or5w22
1293,>NM_001000665.1,Or12e7
1295,>NM_001000666.1,Or10ag59b
1297,>NM_001000667.1,Or10ag58
1299,>NM_001000668.1,Or12e9
1301,>NM_001000669.1,Or10ag54b
1303,>NM_001000670.1,Olr551
1305,>NM_001000671.1,Or5be3
1307,>NM_001000672.1,Or8h11
1309,>NM_001000673.1,Or5t16
1311,>NM_001000674.1,Or8h9
1313,>NM_001000675.1,Or8h6
1315,>NM_001000676.1,Or5t9b
1317,>NM_001000677.1,Or8k33
1319,>NM_001000678.1,Or8k32
1321,>NM_001000679.1,Or8k31
1323,>NM_001000680.1,Or8k25
1325,>NM_001000681.1,Or8k24
1327,>NM_001000682.1,Or8k3
1329,>NM_001000683.1,Or8u8l1
1331,>NM_001000684.1,Or5al7
1333,>NM_001000685.1,Or5al1
1335,>NM_001000686.1,Or5m9
1337,>NM_001000687.1,Or9g19
1339,>NM_001000688.1,Or5ak4
1341,>NM_001000689.1,Or14c39
1343,>NM_001000690.1,Or14a257c
1345,>NM_001000691.1,Or14a257b
1347,>NM_001000692.1,Or14c40
1349,>NM_001000693.1,Or14a257d
1351,>NM_001000694.1,Or14a258
1353,>NM_001000695.1,Or14a260
1355,>NM_001000697.1,Or9r3b
1357,>NM_001000698.1,Or6c219
1359,>NM_001000699.1,Or6c75
1361,>NM_001000700.1,Or6c207
1363,>NM_001000702.1,Or6c66b
1365,>NM_001000703.1,Or6c202
1367,>NM_001000704.1,Or6c70
1369,>NM_001000705.1,Or6c6f
1371,>NM_001000706.1,Olr906
1373,>NM_001000707.1,Or6c63
1375,>NM_001000709.1,Or7a39
1377,>NM_001000710.1,Or7a38
1379,>NM_001000711.1,Or7a38d
1381,>NM_001000712.1,Or7a35
1383,>NM_001000713.1,Olr1523
1385,>NM_001000714.1,Olr1520
1387,>NM_001000715.1,Or1e1e
1389,>NM_001000716.1,Or1e31
1391,>NM_001000717.1,Or1e25
1393,>NM_001000718.1,Or1e27b
1395,>NM_001000719.1,Or1e27
1397,>NM_001000720.1,Or1e26b
1399,>NM_001000721.1,Or1e21b
1401,>NM_001000722.1,Olr1471
1403,>NM_001000723.1,Or1e16d
1405,>NM_001000724.1,Or1e18
1407,>NM_001000725.1,Or5k17
1409,>NM_001000726.1,Or5h17b
1411,>NM_001000727.1,Or5h18
1413,>NM_001000728.1,Or5h26b
1415,>NM_001000730.1,Or5p76b
1417,>NM_001000732.1,Or5p78
1419,>NM_001000733.1,Or5p78c
1421,>NM_001000734.1,Or5p53
1423,>NM_001000735.1,Or13n4b
1425,>NM_001000736.1,Or2ag17
1427,>NM_001000737.1,Or52n1b
1429,>NM_001000738.1,Or52n20
1431,>NM_001000739.1,Or52h2
1433,>NM_001000740.1,Or51l4
1435,>NM_001000742.1,Or52z13
1437,>NM_001000743.1,Or52z12
1439,>NM_001000744.1,Or52ae10
1441,>NM_001000745.1,Or52ab2b
1443,>NM_001000746.1,Or52ab2
1445,>NM_001000747.1,Or52e51
1447,>NM_001000748.1,Or51a25
1449,>NM_001000749.1,Or51f5
1451,>NM_001000750.1,Or9s13
1453,>NM_001000751.1,Or9s14b
1455,>NM_001000752.1,Or9s15
1457,>NM_001000753.1,Or6b3
1459,>NM_001000754.1,Or5b3
1461,>NM_001000755.1,Or5b106
1463,>NM_001000756.1,Or5b104b
1465,>NM_001000757.1,Or5b102
1467,>NM_001000758.1,Or5b100
1469,>NM_001000759.1,Or5an6
1471,>NM_001000760.1,Or5an10
1473,>NM_001000761.1,Olr330
1475,>NM_001000762.1,Or4d10
1477,>NM_001000764.1,Or13a25
1479,>NM_001000765.1,Or13a27d
1481,>NM_001000766.1,Or13a23
1483,>NM_001000767.1,Or13a19b
1485,>NM_001000768.1,Or6z5
1487,>NM_001000769.1,Or9e1
1489,>NM_001000770.1,Or5af1c
1491,>NM_001000771.1,Or2t45
1493,>NM_001000772.1,Or2t45b
1495,>NM_001000773.1,Or2t44b
