,accession,gene
369,>NM_001178357.1,HHF1
371,>NM_001178358.1,HHT1
373,>NM_001178359.1,IPP1
375,>NM_001178361.1,YBR013C
377,>NM_001178362.1,GRX7
379,>NM_001178363.1,MNN2
381,>NM_001178364.1,CPP1
383,>NM_001178365.1,KAP104
385,>NM_001178366.1,GAL7
387,>NM_001178367.1,GAL10
389,>NM_001178368.1,GAL1
391,>NM_001178369.1,FUR4
393,>NM_001178370.1,POA1
395,>NM_001178371.1,CHS3
397,>NM_001178372.1,SCO2
399,>NM_001178373.1,OLA1
401,>NM_001178374.1,ETR1
403,>NM_001178376.1,YPK3
405,>NM_001178377.1,CDS1
407,>NM_001178378.1,RKM3
409,>NM_001178379.1,RPL4A
411,>NM_001178381.1,EDS1
413,>NM_001178382.1,HMT1
415,>NM_001178383.1,PDX3
417,>NM_001178384.1,CSG2
419,>NM_001178385.1,SCO1
421,>NM_001178386.1,CHS2
423,>NM_001178387.1,ATP3
425,>NM_001178388.1,FIG1
427,>NM_001178389.1,FAT1
429,>NM_001178390.1,CST26
431,>NM_001178391.2,QDR3
433,>NM_001178392.2,TCM62
435,>NM_001178393.2,GIP1
437,>NM_001178394.1,ZTA1
439,>NM_001178395.1,FMP23
441,>NM_001178396.1,RPS11B
443,>NM_001178397.1,REB1
445,>NM_001178398.1,REG2
447,>NM_001178400.1,RFS1
449,>NM_001178401.1,YBR053C
451,>NM_001178402.1,YRO2
453,>NM_001178403.1,PRP6
455,>NM_001178404.1,MRX18
457,>NM_001178405.1,MUM2
459,>NM_001178406.1,UBP14
461,>NM_001178407.1,AKL1
463,>NM_001178408.1,ORC2
465,>NM_001178409.3,TRM7
467,>NM_001178410.1,YBR062C
469,>NM_001178411.1,CNM1
471,>NM_001178413.3,ECM2
473,>NM_001178414.1,NRG2
475,>NM_001178415.1,TIP1
477,>NM_001178416.4,BAP2
479,>NM_001178417.1,TAT1
481,>NM_001178418.1,ALG14
483,>NM_001178419.3,YBR071W
485,>NM_001178420.1,HSP26
487,>NM_001178421.4,RDH54
489,>NM_001178422.2,PFF1
491,>NM_001178424.2,ECM8
493,>NM_001178425.3,SLM4
495,>NM_001178426.2,ECM33
497,>NM_001178427.1,RPG1
499,>NM_001178428.3,SEC18
501,>NM_001178429.1,SPT7
503,>NM_001178430.1,UBC4
505,>NM_001178431.3,TEC1
507,>NM_001178432.1,MIS1
509,>NM_001178433.3,AAC3
511,>NM_001178434.1,IST2
513,>NM_001178435.3,RFC5
515,>NM_001178436.1,POL30
517,>NM_001178438.4,YBR090C
519,>NM_001178439.1,TIM12
521,>NM_001178440.1,PHO3
523,>NM_001178441.3,PHO5
525,>NM_001178442.2,PBY1
527,>NM_001178443.1,RXT2
529,>NM_001178444.3,YBR096W
531,>NM_001178445.2,VPS15
533,>NM_001178446.1,MMS4
535,>NM_001178449.3,FES1
537,>NM_001178450.1,EXO84
539,>NM_001178451.1,SIF2
541,>NM_001178452.3,YMC2
543,>NM_001178453.1,VID24
545,>NM_001178454.1,SND3
547,>NM_001178455.3,IML3
549,>NM_001178456.2,AIM3
551,>NM_001178457.1,CMD1
553,>NM_001178458.3,ALG1
555,>NM_001178459.1,YSA1
557,>NM_001178460.3,CYC8
559,>NM_001178462.1,RAD16
561,>NM_001178463.1,LYS2
563,>NM_001178465.3,TKL2
565,>NM_001178466.1,TEF2
567,>NM_001178467.1,MUD1
569,>NM_001178468.3,CBP6
571,>NM_001178469.2,GRS1
573,>NM_001178470.1,MRPL36
575,>NM_001178471.3,TFC1
577,>NM_001178473.1,PTC4
579,>NM_001178474.1,TPS1
581,>NM_001178475.3,VMA2
583,>NM_001178476.1,ATG14
585,>NM_001178477.1,OPY1
587,>NM_001178478.3,SHE3
589,>NM_001178479.3,CCZ1
591,>NM_001178480.1,AGP2
593,>NM_001178481.1,HSL7
595,>NM_001178483.3,CKS1
597,>NM_001178484.3,MEC1
599,>NM_001178485.2,YBR137W
601,>NM_001178486.2,YBR138C
603,>NM_001178487.3,ATG42
605,>NM_001178488.3,IRA1
607,>NM_001178489.2,BMT2
609,>NM_001178490.1,MAK5
611,>NM_001178491.3,SUP45
613,>NM_001178493.3,ADH5
615,>NM_001178494.1,MRPS9
617,>NM_001178495.1,RTC2
619,>NM_001178496.3,YSW1
621,>NM_001178497.3,ARA1
623,>NM_001178498.1,TBS1
625,>NM_001178499.1,APD1
627,>NM_001178500.3,SPP381
629,>NM_001178501.3,RIB7
631,>NM_001178502.1,RPB5
633,>NM_001178503.1,CNS1
635,>NM_001178504.3,SLI15
637,>NM_001178505.3,ICS2
639,>NM_001178506.1,AMN1
641,>NM_001178507.1,IFA38
643,>NM_001178508.3,CDC28
645,>NM_001178509.3,CSH1
647,>NM_001178510.1,TOS1
649,>NM_001178511.3,EXO5
651,>NM_001178512.3,ARL1
653,>NM_001178513.1,UBS1
655,>NM_001178514.1,TYR1
657,>NM_001178515.3,POP7
659,>NM_001178516.3,PEX32
661,>NM_001178517.1,SSE2
663,>NM_001178518.1,NPL4
665,>NM_001178519.3,SEC66
667,>NM_001178520.3,SMY2
669,>NM_001178521.1,UMP1
671,>NM_001178523.1,SWD3
673,>NM_001178524.3,ECM31
675,>NM_001178525.3,EHT1
677,>NM_001178527.1,FZO1
679,>NM_001178528.1,DTR1
681,>NM_001178529.3,RPS6B
683,>NM_001178530.3,SMP1
685,>NM_001178531.1,YPC1
687,>NM_001178532.3,YBR184W
689,>NM_001178533.3,MBA1
691,>NM_001178534.1,PCH2
693,>NM_001178535.1,GDT1
695,>NM_001178536.3,NTC20
697,>NM_001178537.3,RPS9B
699,>NM_001178539.1,RPL21A
701,>NM_001178540.1,RIM2
703,>NM_001178541.3,MED8
705,>NM_001178542.3,AIM4
707,>NM_001178543.1,MSI1
709,>NM_001178544.1,PGI1
711,>NM_001178545.1,YBR197C
713,>NM_001178546.1,TAF5
715,>NM_001178547.3,KTR4
717,>NM_001178548.3,BEM1
719,>NM_001178549.1,DER1
721,>NM_001178550.4,MCM7
723,>NM_001178551.2,COS111
725,>NM_001178552.2,LDH1
727,>NM_001178553.3,KTR3
729,>NM_001178555.4,FTH1
731,>NM_001178556.1,DUR12
733,>NM_001178558.1,ERV15
735,>NM_001178559.3,AME1
737,>NM_001178560.3,NGR1
739,>NM_001178561.1,MET8
741,>NM_001178562.1,SDS24
743,>NM_001178563.3,HPC2
745,>NM_001178564.3,YBP1
747,>NM_001178565.1,ATG12
749,>NM_001178566.1,PYC2
751,>NM_001178567.3,YBR219C
753,>NM_001178568.3,YBR220C
755,>NM_001178569.1,PDB1
757,>NM_001178570.3,PCS60
759,>NM_001178571.3,TDP1
761,>NM_001178573.1,YBR225W
763,>NM_001178575.1,MCX1
765,>NM_001178576.3,SLX1
767,>NM_001178577.3,ROT2
769,>NM_001178578.1,OM14
771,>NM_001178579.3,SWC5
773,>NM_001178581.3,PBP2
775,>NM_001178582.1,ARC40
777,>NM_001178583.3,VHC1
779,>NM_001178584.3,ABD1
781,>NM_001178585.1,PRP5
783,>NM_001178586.1,YBR238C
785,>NM_001178587.3,ERT1
787,>NM_001178588.3,THI2
789,>NM_001178589.1,VVS1
791,>NM_001178590.1,YBR242W
793,>NM_001178591.3,ALG7
795,>NM_001178592.3,GPX2
797,>NM_001178593.1,ISW1
799,>NM_001178594.1,RRT2
801,>NM_001178595.3,ENP1
803,>NM_001178596.3,HIS7
805,>NM_001178597.1,ARO4
807,>NM_001178598.1,SPO23
809,>NM_001178599.3,MRPS5
811,>NM_001178600.3,DUT1
813,>NM_001178601.1,SRB6
815,>NM_001178602.1,TRS20
817,>NM_001178603.3,MTC4
819,>NM_001178604.1,RIB5
821,>NM_001178605.1,POP4
823,>NM_001178606.3,SHG1
825,>NM_001178607.3,YBR259W
827,>NM_001178608.1,RGD1
829,>NM_001178609.1,TAE1
831,>NM_001178610.3,MIC12
833,>NM_001178611.3,SHM1
835,>NM_001178612.1,YPT10
837,>NM_001178613.2,TSC10
839,>NM_001178615.4,REI1
841,>NM_001178616.3,MRPL37
843,>NM_001178617.1,SDH8
845,>NM_001178618.2,BIT2
847,>NM_001178619.3,EFM2
849,>NM_001178620.3,HSM3
851,>NM_001178621.1,UBX7
853,>NM_001178622.1,CHK1
855,>NM_001178623.4,RIF1
857,>NM_001178624.3,PPS1
859,>NM_001178626.1,DPB3
861,>NM_001178627.1,PAF1
863,>NM_001178628.3,SAF1
865,>NM_001178629.3,DUG2
867,>NM_001178630.1,MRPL27
869,>NM_001178631.1,SSH1
871,>NM_001178632.3,YBR284W
873,>NM_001178633.4,HAB1
875,>NM_001178634.1,APE3
877,>NM_001178635.1,YBR287W
879,>NM_001178636.4,APM3
881,>NM_001178637.4,SNF5
883,>NM_001178638.1,BSD2
885,>NM_001178639.1,CTP1
887,>NM_001178641.3,VBA2
889,>NM_001178642.3,SUL1
891,>NM_001178643.2,PCA1
893,>NM_001178644.1,PHO89
895,>NM_001178645.3,MAL33
897,>NM_001178646.1,MAL31
899,>NM_001178647.3,MAL32
901,>NM_001178649.3,PAU24
903,>NM_001178650.1,COS2
905,>NM_001178651.1,RER1
907,>NM_001178652.2,YCL002C
909,>NM_001178653.1,PGS1
911,>NM_001178654.1,LDB16
913,>NM_001178657.1,STP22
915,>NM_001178658.1,ILV6
917,>NM_001178659.1,SGF29
919,>NM_001178660.1,GBP2
921,>NM_001178662.1,BUD3
923,>NM_001178663.1,DCC1
925,>NM_001178664.1,NFS1
927,>NM_001178665.1,LEU2
929,>NM_001178666.2,YCL019W
931,>NM_001178667.1,YCL020W
933,>NM_001178670.1,KCC4
935,>NM_001178671.1,AGP1
937,>NM_001178672.1,FUS1
939,>NM_001178673.1,RNQ1
941,>NM_001178674.1,BIK1
943,>NM_001178675.1,HIS4
945,>NM_001178676.1,RRP7
947,>NM_001178677.1,STE50
949,>NM_001178678.1,MXR2
951,>NM_001178679.1,LSB5
953,>NM_001178680.1,GRX1
955,>NM_001178681.1,GFD2
957,>NM_001178682.1,SRO9
959,>NM_001178683.1,ATG22
961,>NM_001178684.1,GID7
963,>NM_001178685.1,GLK1
965,>NM_001178687.1,YCL042W
967,>NM_001178688.1,PDI1
969,>NM_001178689.1,MGR1
971,>NM_001178690.1,EMC1
973,>NM_001178692.1,POF1
975,>NM_001178693.1,SPS22
977,>NM_001178694.1,YCL049C
979,>NM_001178695.1,APA1
981,>NM_001178696.1,LRE1
983,>NM_001178697.1,PBN1
985,>NM_001178698.1,SPB1
987,>NM_001178699.1,KAR4
989,>NM_001178700.1,PEX34
991,>NM_001178701.1,PRD1
993,>NM_001178702.1,FYV5
995,>NM_001178703.1,KRR1
997,>NM_001178704.1,MRC1
999,>NM_001178705.1,VAC17
1001,>NM_001178706.1,CHA1
1003,>NM_001178707.1,HMLALPHA1
1005,>NM_001178708.1,HMLALPHA2
1007,>NM_001178709.1,YCL068C
1009,>NM_001178710.1,VBA3
1011,>NM_001178711.1,GEX1
1013,>NM_001178713.1,FRM2
1015,>NM_001178715.1,CDC10
1017,>NM_001178716.1,MRPL32
1019,>NM_001178717.1,YCP4
1021,>NM_001178718.1,CIT2
1023,>NM_001178720.1,DFP3
1025,>NM_001178721.1,SAT4
1027,>NM_001178722.1,RVS161
1029,>NM_001178723.1,ADY2
1031,>NM_001178724.1,ADP1
1033,>NM_001178725.1,PGK1
1035,>NM_001178727.1,POL4
1037,>NM_001178728.1,CTO1
1039,>NM_001178729.1,RBP95
1041,>NM_001178730.1,CWH43
1043,>NM_001178731.1,SRD1
1045,>NM_001178732.1,MAK32
1047,>NM_001178733.1,PET18
1049,>NM_001178734.1,MAK31
1051,>NM_001178735.1,HSP30
1053,>NM_001178737.1,YCR023C
1055,>NM_001178738.1,SLM5
1057,>NM_001178739.1,PMP1
1059,>NM_001178741.1,NPP1
1061,>NM_001178742.1,RHB1
1063,>NM_001178743.1,FEN2
1065,>NM_001178744.1,SYP1
1067,>NM_001178745.1,RPS14A
1069,>NM_001178746.1,BPH1
1071,>NM_001178747.1,SNT1
1073,>NM_001178748.1,ELO2
1075,>NM_001178749.1,RRP43
1077,>NM_001178750.1,RBK1
1079,>NM_001178751.1,PHO87
1081,>NM_001178752.1,BUD5
1083,>NM_001178753.1,MATALPHA2
1085,>NM_001178754.1,MATALPHA1
1087,>NM_001178756.1,TAF2
1089,>NM_001178757.1,YCR043C
1091,>NM_001178758.1,PER1
1093,>NM_001178759.1,RRT12
1095,>NM_001178760.1,IMG1
1097,>NM_001178761.1,BUD23
1099,>NM_001178762.1,ARE1
1101,>NM_001178764.1,YCR050C
1103,>NM_001178765.1,YCR051W
1105,>NM_001178766.1,RSC6
1107,>NM_001178767.1,THR4
1109,>NM_001178768.1,CTR86
1111,>NM_001178769.1,PWP2
1113,>NM_001178770.1,YIH1
1115,>NM_001178771.1,TAH1
1117,>NM_001178772.1,TVS1
1119,>NM_001178774.1,BUD31
1121,>NM_001178776.1,HCM1
1123,>NM_001178777.1,RAD18
1125,>NM_001178778.1,SED4
1127,>NM_001178779.1,ATG15
1129,>NM_001178780.1,CPR4
1131,>NM_001178781.1,IMG2
1133,>NM_001178782.1,RSA4
1135,>NM_001178783.1,SSK22
1137,>NM_001178784.1,ERS1
1139,>NM_001178785.1,FUB1
1141,>NM_001178786.2,PAT1
1143,>NM_001178787.1,SRB8
1145,>NM_001178788.1,AHC2
1147,>NM_001178789.1,TRX3
1149,>NM_001178790.1,TUP1
1151,>NM_001178792.1,CSM1
1153,>NM_001178794.1,ABP1
1155,>NM_001178795.1,FIG2
1157,>NM_001178796.1,YCR090C
1159,>NM_001178797.2,KIN82
1161,>NM_001178798.1,MSH3
1163,>NM_001178799.1,CDC39
1165,>NM_001178800.1,CDC50
1167,>NM_001178801.1,OCA4
1169,>NM_001178802.1,HMRA2
1171,>NM_001178804.1,HMRA1
1173,>NM_001178805.1,GIT1
1175,>NM_001178806.1,YCR099C
1177,>NM_001178807.1,EMA35
1179,>NM_001178808.1,YCR101C
1181,>NM_001178809.1,YCR102C
1183,>NM_001178811.1,PAU3
1185,>NM_001178812.1,ADH7
1187,>NM_001178813.1,RDS1
1189,>NM_001178814.1,AAD3
1191,>NM_001178815.1,SOL2
1193,>NM_001178816.1,IRC22
1195,>NM_001178817.3,WBP1
1197,>NM_001178818.1,GIM4
1199,>NM_001178819.1,YEA4
1201,>NM_001178820.3,VAB2
1203,>NM_001178821.1,YEA6
1205,>NM_001178822.1,MIT1
1207,>NM_001178824.3,GCN4
1209,>NM_001178826.1,GLC3
1211,>NM_001178827.1,UBC8
1213,>NM_001178828.3,VAC8
1215,>NM_001178830.1,EDC3
1217,>NM_001178831.1,NPP2
1219,>NM_001178832.3,GTT3
1221,>NM_001178833.1,EAF5
1223,>NM_001178834.3,MMS21
1225,>NM_001178835.1,PXP1
1227,>NM_001178836.3,URA3
1229,>NM_001178837.1,GEA2
1231,>NM_001178838.1,YEL023C
1233,>NM_001178839.3,RIP1
1235,>NM_001178840.1,YEL025C
1237,>NM_001178841.1,SNU13
1239,>NM_001178842.3,VMA3
1241,>NM_001178844.1,BUD16
1243,>NM_001178845.1,ECM10
1245,>NM_001178846.3,SPF1
1247,>NM_001178847.1,MCM3
1249,>NM_001178848.1,MTC7
1251,>NM_001178849.3,HYP2
1253,>NM_001178850.1,UTR5
1255,>NM_001178851.1,ANP1
1257,>NM_001178852.3,RAD23
1259,>NM_001178853.1,UTR4
1261,>NM_001178854.1,CYC7
1263,>NM_001178855.3,UTR2
1265,>NM_001178856.1,YEF1
1267,>NM_001178857.1,GDA1
1269,>NM_001178858.3,GTA1
1271,>NM_001178859.1,IES6
1273,>NM_001178861.1,GLY1
1275,>NM_001178862.3,FRD1
1277,>NM_001178863.1,TCA17
1279,>NM_001178864.1,PAU2
1281,>NM_001178865.3,RML2
1283,>NM_001178866.1,VMA8
1285,>NM_001178867.1,AFG1
1287,>NM_001178868.3,MAK10
1289,>NM_001178869.1,RPL12A
1291,>NM_001178870.1,POL5
1293,>NM_001178871.3,HAT2
1295,>NM_001178872.1,SDD1
1297,>NM_001178873.1,PCM1
1299,>NM_001178875.1,PRB1
1301,>NM_001178876.1,CIN8
1303,>NM_001178877.3,NPR2
1305,>NM_001178878.1,CAN1
1307,>NM_001178879.1,AVT2
1309,>NM_001178880.3,SIT1
1311,>NM_001178881.2,HPA3
1313,>NM_001178882.1,YEL067C
1315,>NM_001178884.1,HXT13
1317,>NM_001178885.1,DSF1
1319,>NM_001178886.1,DLD3
1321,>NM_001178887.1,RMD6
1323,>NM_001178888.1,YEL073C
1325,>NM_001178890.1,YEL075C
1327,>NM_001178891.1,YEL076C
1329,>NM_001178892.1,MNN1
1331,>NM_001178893.3,NOP16
1333,>NM_001178894.1,PMI40
1335,>NM_001178895.1,FMP52
1337,>NM_001178896.3,YND1
1339,>NM_001178897.1,NUG1
1341,>NM_001178898.1,PAC2
1343,>NM_001178899.1,SEC3
1345,>NM_001178900.1,NTF2
1347,>NM_001178901.3,YER010C
1349,>NM_001178902.1,TIR1
1351,>NM_001178903.1,PRE1
1353,>NM_001178904.3,PRP22
1355,>NM_001178905.1,HEM14
1357,>NM_001178906.3,FAA2
1359,>NM_001178907.1,BIM1
1361,>NM_001178908.1,AFG3
1363,>NM_001178909.3,SPC25
1365,>NM_001178910.1,ISC1
1367,>NM_001178911.3,GPA2
1369,>NM_001178912.1,RPN3
1371,>NM_001178913.1,SRB4
1373,>NM_001178914.3,PRO3
1375,>NM_001178915.1,YAT2
1377,>NM_001178916.1,GCD11
1379,>NM_001178917.3,CHO1
1381,>NM_001178918.1,GAL83
1383,>NM_001178919.1,MIG3
1385,>NM_001178920.3,SMB1
1387,>NM_001178921.1,CHZ1
1389,>NM_001178922.1,YPT31
1391,>NM_001178923.3,FIR1
1393,>NM_001178924.1,ZRG8
1395,>NM_001178925.1,YER034W
1397,>NM_001178926.3,EDC2
1399,>NM_001178927.1,ARB1
1401,>NM_001178928.1,PHM8
1403,>NM_001178929.3,KRE29
1405,>NM_001178930.1,HVG1
1407,>NM_001178931.3,GLN3
1409,>NM_001178932.2,YEN1
1411,>NM_001178933.1,MXR1
1413,>NM_001178934.3,SAH1
1415,>NM_001178935.1,ERG28
1417,>NM_001178936.3,ACA1
1419,>NM_001178937.1,SPO73
1421,>NM_001178938.1,SAP1
1423,>NM_001178939.3,CAJ1
1425,>NM_001178940.1,TPA1
1427,>NM_001178941.3,RSM18
1429,>NM_001178942.1,JHD1
1431,>NM_001178943.1,HOM3
1433,>NM_001178944.3,PIC2
1435,>NM_001178945.1,GIP2
1437,>NM_001178946.3,HIS1
1439,>NM_001178947.1,FCY2
1441,>NM_001178948.3,HMF1
1443,>NM_001178949.1,PET117
1445,>NM_001178950.1,PCL6
1447,>NM_001178951.3,FCY21
1449,>NM_001178952.2,CEM1
1451,>NM_001178953.3,GPP2
1453,>NM_001178954.1,THO1
1455,>NM_001178955.1,VHR2
1457,>NM_001178956.3,ICL1
1459,>NM_001178957.1,RRT13
1461,>NM_001178958.1,RGI1
1463,>NM_001178959.3,MOT2
1465,>NM_001178960.1,ARG56
1467,>NM_001178961.1,RNR1
1469,>NM_001178962.3,TDA2
1471,>NM_001178963.1,VTC1
1473,>NM_001178964.2,ALD5
1475,>NM_001178965.3,RPS24A
1477,>NM_001178966.2,PTP3
1479,>NM_001178967.3,YER076C
1481,>NM_001178968.1,MRX1
1483,>NM_001178969.1,ICP55
1485,>NM_001178970.1,YER079W
1487,>NM_001178971.1,AIM9
1489,>NM_001178972.3,SER3
1491,>NM_001178973.1,UTP7
1493,>NM_001178974.1,GET2
1495,>NM_001178976.3,YER085C
1497,>NM_001178977.1,ILV1
1499,>NM_001178978.1,AIM10
1501,>NM_001178979.3,DOT6
1503,>NM_001178980.1,PTC2
1505,>NM_001178981.1,TRP2
1507,>NM_001178982.3,MET6
1509,>NM_001178983.3,IES5
1511,>NM_001178984.1,TSC11
1513,>NM_001178985.3,PUP3
1515,>NM_001178986.3,RAD51
1517,>NM_001178987.1,SHC1
1519,>NM_001178989.1,UBP9
1521,>NM_001178990.3,PRS2
1523,>NM_001178991.3,UBC6
1525,>NM_001178992.1,AST2
1527,>NM_001178993.1,RPS8B
1529,>NM_001178994.3,SSA4
1531,>NM_001178995.3,RTT105
1533,>NM_001178996.1,NUP157
1535,>NM_001178997.1,MAM1
1537,>NM_001178998.3,GLE2
1539,>NM_001179000.1,KAP123
1541,>NM_001179001.1,SWI4
1543,>NM_001179002.3,LSM4
1545,>NM_001179003.3,TMN3
1547,>NM_001179004.1,BOI2
1549,>NM_001179005.1,SPR6
1551,>NM_001179006.3,SLX8
1553,>NM_001179007.3,RPL23B
1555,>NM_001179008.1,SHO1
1557,>NM_001179009.1,AVT6
1559,>NM_001179010.3,SCS2
1561,>NM_001179011.3,YER121W
1563,>NM_001179012.1,GLO3
1565,>NM_001179013.1,YCK3
1567,>NM_001179014.3,DSE1
1569,>NM_001179015.3,RSP5
1571,>NM_001179016.1,NSA2
1573,>NM_001179017.1,LCP5
1575,>NM_001179018.3,VFA1
1577,>NM_001179019.3,SAK1
1579,>NM_001179020.1,COM2
1581,>NM_001179021.1,RPS26B
1583,>NM_001179022.3,PMD1
1585,>NM_001179023.3,GLC7
1587,>NM_001179024.1,YER134C
1589,>NM_001179026.1,GDI1
1591,>NM_001179027.3,YER137C
1593,>NM_001179028.4,YER138C
1595,>NM_001179029.3,RTR1
1597,>NM_001179030.3,EMP65
1599,>NM_001179031.1,COX15
1601,>NM_001179032.1,MAG1
1603,>NM_001179033.3,DDI1
1605,>NM_001179034.3,UBP5
