>XM_023605096.1 Rhizopus microsporus ATCC 52813 serine protease (RHIMIDRAFT_10000), mRNA
>XM_023605159.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_104191), mRNA
>XM_023605160.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_104502), mRNA
>XM_023605161.1 Rhizopus microsporus ATCC 52813 70 kDa heat shock protein 3 (RHIMIDRAFT_104601), mRNA
>XM_023605162.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_104676), mRNA
>XM_023605163.1 Rhizopus microsporus ATCC 52813 Metallo-hydrolase/oxidoreductase (RHIMIDRAFT_104721), mRNA
>XM_023605164.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_104751), mRNA
>XM_023605165.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_104834), mRNA
>XM_023605166.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_104900), mRNA
>XM_023605167.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_104942), mRNA
>XM_023605168.1 Rhizopus microsporus ATCC 52813 alpha/beta-hydrolase (RHIMIDRAFT_104960), mRNA
>XM_023605169.1 Rhizopus microsporus ATCC 52813 phosphatases II (RHIMIDRAFT_105049), mRNA
>XM_023605170.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_105250), mRNA
>XM_023605171.1 Rhizopus microsporus ATCC 52813 THO complex subunit 3-like protein (RHIMIDRAFT_105254), mRNA
>XM_023605172.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_105259), mRNA
>XM_023605173.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_105294), mRNA
>XM_023605174.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_105303), mRNA
>XM_023605175.1 Rhizopus microsporus ATCC 52813 S-adenosyl-L-methionine-dependent methyltransferase (RHIMIDRAFT_10572), mRNA
>XM_023605176.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_106002), mRNA
>XM_023605177.1 Rhizopus microsporus ATCC 52813 HIT-like protein (RHIMIDRAFT_106026), mRNA
>XM_023605178.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_10614), partial mRNA
>XM_023605179.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_1062), mRNA
>XM_023605180.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_106224), mRNA
>XM_023605181.1 Rhizopus microsporus ATCC 52813 Metallo-dependent phosphatase (RHIMIDRAFT_106276), mRNA
>XM_023605182.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_106361), mRNA
>XM_023605183.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_106481), mRNA
>XM_023605184.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_106537), mRNA
>XM_023605185.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_106546), mRNA
>XM_023605186.1 Rhizopus microsporus ATCC 52813 O-acetylhomoserine/O-acetylserine sulfhydrylase (RHIMIDRAFT_106578), mRNA
>XM_023605187.1 Rhizopus microsporus ATCC 52813 zf-DHHC-domain-containing protein (RHIMIDRAFT_106601), mRNA
>XM_023605188.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_106709), mRNA
>XM_023605189.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_107008), mRNA
>XM_023605190.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_107030), mRNA
>XM_023605191.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_10720), mRNA
>XM_023605192.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_10724), mRNA
>XM_023605193.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_107300), mRNA
>XM_023605194.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_107424), mRNA
>XM_023605195.1 Rhizopus microsporus ATCC 52813 Thioesterase/thiol ester dehydrase-isomerase (RHIMIDRAFT_107715), mRNA
>XM_023605196.1 Rhizopus microsporus ATCC 52813 tp53rk protein (RHIMIDRAFT_107769), mRNA
>XM_023605197.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_107871), mRNA
>XM_023605198.1 Rhizopus microsporus ATCC 52813 MAP kinase (RHIMIDRAFT_107877), mRNA
>XM_023605199.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_107961), mRNA
>XM_023605200.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_108178), mRNA
>XM_023605201.1 Rhizopus microsporus ATCC 52813 UPF0287-domain-containing protein (RHIMIDRAFT_108209), mRNA
>XM_023605202.1 Rhizopus microsporus ATCC 52813 UPF0014-domain-containing protein (RHIMIDRAFT_108516), mRNA
>XM_023605203.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_108518), mRNA
>XM_023605204.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_108637), mRNA
>XM_023605205.1 Rhizopus microsporus ATCC 52813 CMGC/GSK protein kinase (RHIMIDRAFT_108790), mRNA
>XM_023605206.1 Rhizopus microsporus ATCC 52813 nuclear transport factor 2 (RHIMIDRAFT_108863), mRNA
>XM_023605207.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_108905), mRNA
>XM_023605208.1 Rhizopus microsporus ATCC 52813 mitochondrial cytochrome c oxidase subunit VIa (RHIMIDRAFT_108908), mRNA
>XM_023605209.1 Rhizopus microsporus ATCC 52813 plasma-membrane proton-e (RHIMIDRAFT_10892), mRNA
>XM_023605210.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_10897), mRNA
>XM_023605211.1 Rhizopus microsporus ATCC 52813 WD40 repeat-like protein (RHIMIDRAFT_108987), mRNA
>XM_023605212.1 Rhizopus microsporus ATCC 52813 HD-domain/PDEase-like protein (RHIMIDRAFT_109055), mRNA
>XM_023605213.1 Rhizopus microsporus ATCC 52813 PP2C-domain-containing protein (RHIMIDRAFT_109144), mRNA
>XM_023605214.1 Rhizopus microsporus ATCC 52813 putative histone acetyltransferase (RHIMIDRAFT_109176), mRNA
>XM_023605215.1 Rhizopus microsporus ATCC 52813 Bromodomain-containing protein (RHIMIDRAFT_109200), mRNA
>XM_023605216.1 Rhizopus microsporus ATCC 52813 NAD-dependent methanol dehydrogenase (RHIMIDRAFT_109343), mRNA
>XM_023605217.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_109366), mRNA
>XM_023605218.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_109477), mRNA
>XM_023605219.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_109543), mRNA
>XM_023605220.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_109546), mRNA
>XM_023605221.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_109616), mRNA
>XM_023605222.1 Rhizopus microsporus ATCC 52813 V-type ATPase (RHIMIDRAFT_109724), mRNA
>XM_023605223.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_10973), mRNA
>XM_023605224.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_109733), mRNA
>XM_023605225.1 Rhizopus microsporus ATCC 52813 GCFC-domain-containing protein (RHIMIDRAFT_109948), mRNA
>XM_023605226.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_109961), mRNA
>XM_023605227.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_109972), mRNA
>XM_023605228.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_11003), mRNA
>XM_023605229.1 Rhizopus microsporus ATCC 52813 ARM repeat-containing protein (RHIMIDRAFT_110126), mRNA
>XM_023605230.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_11028), mRNA
>XM_023605231.1 Rhizopus microsporus ATCC 52813 Rhodanese-like protein (RHIMIDRAFT_1103), mRNA
>XM_023605232.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_110301), mRNA
>XM_023605233.1 Rhizopus microsporus ATCC 52813 Phox-like protein (RHIMIDRAFT_110482), mRNA
>XM_023605234.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_110562), mRNA
>XM_023605235.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_110632), mRNA
>XM_023605236.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_110667), mRNA
>XM_023605237.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_110710), mRNA
>XM_023605238.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_11073), mRNA
>XM_023605239.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_110753), mRNA
>XM_023605240.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_110813), mRNA
>XM_023605241.1 Rhizopus microsporus ATCC 52813 urease accessory protein UreF (RHIMIDRAFT_110882), mRNA
>XM_023605242.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_110929), mRNA
>XM_023605243.1 Rhizopus microsporus ATCC 52813 tubulin nucleotide-binding domain-like protein (RHIMIDRAFT_110956), mRNA
>XM_023605244.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_110998), mRNA
>XM_023605245.1 Rhizopus microsporus ATCC 52813 Pkinase-domain-containing protein (RHIMIDRAFT_111063), mRNA
>XM_023605246.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_111128), mRNA
>XM_023605247.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_111247), mRNA
>XM_023605248.1 Rhizopus microsporus ATCC 52813 40S ribosomal protein-like protein S18 (RHIMIDRAFT_111343), mRNA
>XM_023605249.1 Rhizopus microsporus ATCC 52813 UDP-Glycosyltransferase/glycogen phosphorylase (RHIMIDRAFT_111376), mRNA
>XM_023605250.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_111388), mRNA
>XM_023605251.1 Rhizopus microsporus ATCC 52813 exosome non-catalytic core subunit RRP4 (RHIMIDRAFT_111409), mRNA
>XM_023605252.1 Rhizopus microsporus ATCC 52813 WD-repeat-containing protein (RHIMIDRAFT_111459), mRNA
>XM_023605253.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_111668), mRNA
>XM_023605254.1 Rhizopus microsporus ATCC 52813 E3 ubiquitin ligase SCF complex, Skp subunit (RHIMIDRAFT_111699), mRNA
>XM_023605255.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_111775), mRNA
>XM_023605256.1 Rhizopus microsporus ATCC 52813 DUF1000-domain-containing protein (RHIMIDRAFT_111883), mRNA
>XM_023605257.1 Rhizopus microsporus ATCC 52813 putative calmodulin-dependent protein kinase type 1 (RHIMIDRAFT_111900), mRNA
>XM_023605258.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_111983), mRNA
>XM_023605259.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_112156), mRNA
>XM_023605260.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_112339), mRNA
>XM_023605261.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_112375), mRNA
>XM_023605262.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_112376), mRNA
>XM_023605263.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_112451), mRNA
>XM_023605264.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_112520), mRNA
>XM_023605265.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_11255), mRNA
>XM_023605266.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_112691), mRNA
>XM_023605267.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_112786), mRNA
>XM_023605268.1 Rhizopus microsporus ATCC 52813 protein serine/threonine kinase (RHIMIDRAFT_112841), partial mRNA
>XM_023605269.1 Rhizopus microsporus ATCC 52813 T-complex protein 1 zeta subunit (RHIMIDRAFT_112993), mRNA
>XM_023605270.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_113011), mRNA
>XM_023605271.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_113012), mRNA
>XM_023605272.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_11304), mRNA
>XM_023605273.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_113098), mRNA
>XM_023605274.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_113122), mRNA
>XM_023605275.1 Rhizopus microsporus ATCC 52813 Bromodomain-containing protein (RHIMIDRAFT_113188), mRNA
>XM_023605276.1 Rhizopus microsporus ATCC 52813 Bromodomain-containing protein (RHIMIDRAFT_113202), mRNA
>XM_023605277.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_113221), mRNA
>XM_023605278.1 Rhizopus microsporus ATCC 52813 ubiquitin carboxyl-terminal hydrolase 14 (RHIMIDRAFT_11336), mRNA
>XM_023605279.1 Rhizopus microsporus ATCC 52813 AMP-dependent synthetase and ligase (RHIMIDRAFT_113381), mRNA
>XM_023605280.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_113390), mRNA
>XM_023605281.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_113398), mRNA
>XM_023605282.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_113451), mRNA
>XM_023605283.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_113452), mRNA
>XM_023605284.1 Rhizopus microsporus ATCC 52813 ATP synthase subunit 4 mitochondrial precursor (RHIMIDRAFT_113643), mRNA
>XM_023605285.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_113673), mRNA
>XM_023605286.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_11368), mRNA
>XM_023605287.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_113682), mRNA
>XM_023605288.1 Rhizopus microsporus ATCC 52813 kinase-like protein (RHIMIDRAFT_113723), mRNA
>XM_023605289.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_113743), mRNA
>XM_023605290.1 Rhizopus microsporus ATCC 52813 galactose oxidase (RHIMIDRAFT_113812), mRNA
>XM_023605291.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_113822), mRNA
>XM_023605292.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_113847), mRNA
>XM_023605293.1 Rhizopus microsporus ATCC 52813 WD40 repeat-like protein (RHIMIDRAFT_113911), mRNA
>XM_023605294.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_113969), mRNA
>XM_023605295.1 Rhizopus microsporus ATCC 52813 kinase-like protein (RHIMIDRAFT_113989), mRNA
>XM_023605296.1 Rhizopus microsporus ATCC 52813 zf-DHHC-domain-containing protein (RHIMIDRAFT_114117), mRNA
>XM_023605297.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_11412), mRNA
>XM_023605298.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_114134), mRNA
>XM_023605299.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_114242), mRNA
>XM_023605300.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_114446), mRNA
>XM_023605301.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_114471), mRNA
>XM_023605302.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_1146), mRNA
>XM_023605303.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_114658), mRNA
>XM_023605304.1 Rhizopus microsporus ATCC 52813 ribonuclease H-like protein (RHIMIDRAFT_114675), mRNA
>XM_023605305.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_114721), mRNA
>XM_023605306.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_114937), mRNA
>XM_023605307.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_114946), mRNA
>XM_023605308.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_115011), mRNA
>XM_023605309.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_115026), mRNA
>XM_023605310.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_115051), mRNA
>XM_023605311.1 Rhizopus microsporus ATCC 52813 F-actin capping protein, beta subunit (RHIMIDRAFT_115324), mRNA
>XM_023605312.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_115378), mRNA
>XM_023605313.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_115448), mRNA
>XM_023605314.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_115617), mRNA
>XM_023605315.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_115622), mRNA
>XM_023605316.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_115674), mRNA
>XM_023605317.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_115713), mRNA
>XM_023605318.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_11572), mRNA
>XM_023605319.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_115791), mRNA
>XM_023605320.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_115800), mRNA
>XM_023605321.1 Rhizopus microsporus ATCC 52813 P-loop containing nucleoside triphosphate hydrolase protein (RHIMIDRAFT_11587), mRNA
>XM_023605322.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_115870), mRNA
>XM_023605323.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_115873), mRNA
>XM_023605324.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_115942), partial mRNA
>XM_023605325.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_116057), mRNA
>XM_023605326.1 Rhizopus microsporus ATCC 52813 P-loop containing nucleoside triphosphate hydrolase protein (RHIMIDRAFT_116262), mRNA
>XM_023605327.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_116281), mRNA
>XM_023605328.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_116301), mRNA
>XM_023605329.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_116388), mRNA
>XM_023605330.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_116495), mRNA
>XM_023605331.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_116568), mRNA
>XM_023605332.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_116611), mRNA
>XM_023605333.1 Rhizopus microsporus ATCC 52813 anthranilate synthase component I (RHIMIDRAFT_116630), mRNA
>XM_023605334.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_116693), mRNA
>XM_023605335.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_116751), mRNA
>XM_023605336.1 Rhizopus microsporus ATCC 52813 HCP-like protein (RHIMIDRAFT_116972), mRNA
